Filer,City,State,"",Shares Held,Market Value,% of Portfolio,Prior % of Portfolio,Ranking,Prior Ranking,Change in shares,Percent Change,Filer State,% Ownership,Qtr first owned,filer_id,filer_cik,filer_irs_number,filer_crd,street_address,street_address2,zip_code
Abacus planning group  inc.,COLUMBIA,SC,"",16393.0,47048.0,0.0082,,234,,16393.0,,SC,0.0037951,Q1 2025,394423,0001602730,,000107994,2500 DEVINE STREET, ,29205
Advent capital management,NEW YORK,NY,"",0.0,0.0,0.0,0.0039,"",197,-42800.0,-100.0,NY,0.0000000,Q4 2024,49,0001097278,,,"888 SEVENTH AVENUE, 31ST FLOOR", ,10019
Advisornet financial  inc,MINNETONKA,MN,"",14.0,40.0,0.0,0.0,2147,1942,0.0,0.0,MN,0.0000032,Q4 2020,177163,0001409362,,,110 CHESHIRE LANE,SUITE 200,55305
Advisory services network  llc,ATLANTA,GA,"",2743.0,7873.0,0.0002,0.0196,1607,723,-261514.0,-98.9619953,GA,0.0006350,Q4 2022,205031,0001573876,,,6600 PEACHTREE DUNWOODY RD.,"EMBASSY ROW 600, SUITE 575",30328
Alliancebernstein l.p.,NASHVILLE,TN,"",326940.0,938318.0,0.0003,0.0004,2279,2185,0.0,0.0,TN,0.0756894,Q1 2014,43469,0001109448,134064930,000108477,501 COMMERCE STREET, ,37203
Allworth financial lp,FOLSOM,CA,"",197.0,534.0,0.0,0.0,3655,3514,-5.0,-2.4752475,CA,0.0000456,Q1 2021,186197,0001555170,,,340 PALLADIO PKWY,SUITE 501,95630
Altshuler shaham ltd,TEL AVIV, ,"",220.0,631.0,0.0,,304,,220.0,, ,0.0000509,Q1 2025,401066,0001324290,,,19A HABARZEL STREET,RAMAT HAHAYAL,6971026
Amalgamated bank,NEW YORK,NY,"",13932.0,40000.0,0.0003,0.0004,1842,1856,2364.0,20.4356846,NY,0.0032254,Q1 2021,93649,0000919192,,,275 SEVENTH AVENUE,6TH FLOOR,10001
American capital advisory  llc,KETCHUM,ID,"",0.0,0.0,0.0,0.0002,"",443,-100.0,-100.0,ID,0.0000000,Q3 2024,666521,0002018007,,000141944,500 NORTH WASHINGTON AVE,PO BOX 4356,83340
Ameritas investment partners  inc.,LINCOLN,NE,"",40889.0,117351.0,0.004,0.0044,1591,1575,6597.0,19.2377231,NE,0.0094661,Q2 2024,2817,0001055980,,,5945 R STREET, ,68505
