Filer,City,State,"",Shares Held,Market Value,% of Portfolio,Prior % of Portfolio,Ranking,Prior Ranking,Change in shares,Percent Change,Filer State,% Ownership,Qtr first owned,filer_id,filer_cik,filer_irs_number,filer_crd,street_address,street_address2,zip_code
Bank of montreal,TORONTO,A6,"",20506.0,59468.0,0.0,0.0001,3077,2904,-25498.0,-55.4256152,A6,0.0039977,Q2 2014,1324,0000927971,000000000,,1 FIRST CANADIAN PLACE, ,M5X 1A1
Bank of new york mellon corp,NEW YORK,NY,"",1254389.0,3637730.0,0.0007,0.0008,2504,2377,-85045.0,-6.3493237,NY,0.2445472,Q1 2014,281,0001390777,,000290078,240 GREENWICH STREET, ,10286
Barclays plc,LONDON,X0,"",3152043.0,9140926.0,0.002,0.0019,1732,1706,481217.0,18.0175347,X0,0.6145009,Q1 2014,294,0000312069,,,1 CHURCHILL PLACE,CANARY WHARF,E14 5HP
Barclays plc,LONDON,X0,CALL,1138700.0,3302230.0,0.0007,0.0001,2503,3840,1000000.0,720.9805335,X0,N/A,Q2 2024,294,0000312069,,,1 CHURCHILL PLACE,CANARY WHARF,E14 5HP
Barrett & company  inc.,PROVIDENCE,RI,"",0.0,0.0,0.0,0.0001,"",629,-85.0,-100.0,RI,0.0000000,Q4 2022,117446,0000887602,,000001175,42 WEYBOSSET ST,42 WEYBOSSET STREET,02903
Bear mountain capital  inc.,SEATTLE,WA,"",2.0,6.0,0.0,0.0,323,182,0.0,0.0,WA,0.0000004,Q4 2023,658955,0002009419,,000151151,2001 6TH AVENUE,STE 2401,98121
Bernard wealth management corp.,ROYAL OAK,MI,"",17.0,50.0,0.0,0.0,335,304,0.0,0.0,MI,0.0000033,Q4 2024,697930,0002056313,,000159533,360 N MAIN STREET,SUITE 430,48067
Blackrock  inc,NEW YORK,NY,"",33680368.0,97673068.0,0.0017,0.0019,2110,2052,1614679.0,5.035535,NY,6.5660963,Q1 2014,373,0002012383,,000109391,50 HUDSON YARDS, ,10001
Blue trust  inc.,ALPHARETTA,GA,"",23.0,67.0,0.0,0.0,2545,2414,0.0,0.0,GA,0.0000045,Q2 2022,514139,0001856022,,,1125 SANCTUARY PARKWAY,SUITE 500,30009
Bnp paribas asset management holding s.a.,PARIS, ,"",4193.0,12000.0,0.0,0.0,1569,1669,0.0,0.0, ,0.0008174,Q2 2025,132696,0001520354,,,1 BOULEVARD HAUSSMANN, ,75009
Bogart wealth  llc,MCLEAN,VA,"",22000.0,63800.0,0.0026,0.0029,408,387,0.0,0.0,VA,0.0042890,Q4 2023,376049,0001715740,,000283886,"2010 CORPORATE RIDGE, SUITE 900", ,22102
Bokf  na,TULSA,OK,"",113.0,328.0,0.0,0.0,1079,1127,0.0,0.0,OK,0.0000220,Q3 2024,63724,0000009634,,,ONE WILLIAMS CENTER, ,74172
Brevan howard capital management lp,ST. HELIER, ,"",232201.0,673383.0,0.003,0.003,1126,1345,67576.0,41.0484434, ,0.0452683,Q4 2024,107478,0001512857,,000161292,6TH FLOOR,37 ESPLANADE,JE2 3QA
California state teachers retirement system,WEST SACRAMENTO,CA,"",408067.0,1183394.0,0.0012,0.0018,1698,1481,-110152.0,-21.2558783,CA,0.0795540,Q1 2014,502,0001081019,946291617,,100 WATERFRONT PLACE, ,95605
Capstone investment advisors  llc,NEW YORK,NY,"",54833.0,159016.0,0.0003,,1855,,54833.0,,NY,0.0106899,Q3 2025,3283,0001426196,,000155563,7 WORLD TRADE CENTER,"250 GREENWICH STREET, 32ND FLOOR",10007
Centerstar asset management  llc,CHICAGO,IL,CALL,30000.0,87000.0,0.0186,,273,,30000.0,,IL,N/A,Q3 2025,391229,0001722053,352600748,,300 SOUTH RIVERSIDE PLAZA,SUITE 2350,60606
Cerity partners llc,NEW YORK,NY,"",24526.0,71126.0,0.0001,0.0001,2663,2528,2739.0,12.5717171,NY,0.0047814,Q4 2024,358302,0001566475,,000151559,99 PARK AVENUE,16TH FLOOR,10016
Cetera investment advisers,SCHAUMBURG,IL,"",123264.0,357466.0,0.0004,0.0001,3687,3990,111043.0,908.6244988,IL,0.0240307,Q1 2025,328339,0001666741,,000105644,1450 AMERICAN LANE 6TH FLOOR,SUITE 650,60173-2096
Cetera investment advisers,SCHAUMBURG,IL,CALL,31000.0,15300.0,0.0,,4507,,31000.0,,IL,N/A,Q3 2025,328339,0001666741,,000105644,1450 AMERICAN LANE 6TH FLOOR,SUITE 650,60173-2096
Cfo4life group  llc,COPPELL,TX,"",10649.0,30882.0,0.0045,0.0052,232,227,0.0,0.0,TX,0.0020761,Q2 2025,289036,0001706351,,000028760,"735 PLAZA BLVD., SUITE 100", ,75019
Charles schwab investment management inc,SAN FRANCISCO,CA,"",4410218.0,12789632.0,0.002,0.0022,1995,1898,311810.0,7.6080761,CA,0.8597862,Q1 2014,2579,0000884546,,000106753,211 MAIN STREET, ,94105
Cibc bancorp usa inc.,CHICAGO,IL,"",50879.0,147549.0,0.0002,,2101,,50879.0,,IL,0.0099190,Q3 2025,527789,0001711924,,,120 SOUTH LASALLE,LEGAL DEPARTMENT - 4TH FLOOR,60603
Citadel advisors llc,MIAMI,FL,"",7237335.0,20988271.0,0.0032,0.0014,2263,3312,4582544.0,172.6141154,FL,1.4109418,Q1 2017,70431,0001423053,000000000,000148826,830 BRICKELL PLAZA, ,33131
Citadel advisors llc,MIAMI,FL,CALL,2131300.0,6180770.0,0.0009,0.001,3974,3867,267600.0,14.3585341,FL,N/A,Q1 2014,70431,0001423053,000000000,000148826,830 BRICKELL PLAZA, ,33131
Citadel advisors llc,MIAMI,FL,PUT,2135200.0,6192080.0,0.0009,0.0011,3972,3732,110100.0,5.4367686,FL,N/A,Q1 2014,70431,0001423053,000000000,000148826,830 BRICKELL PLAZA, ,33131
Citigroup inc,NEW YORK,NY,"",1091798.0,3166215.0,0.0014,0.0006,2311,3062,702266.0,180.2845466,NY,0.2128495,Q4 2016,650,0000831001,,,388 GREENWICH STREET, ,10013
Citigroup inc,NEW YORK,NY,CALL,127500.0,369750.0,0.0002,0.0002,3724,3760,0.0,0.0,NY,N/A,Q4 2022,650,0000831001,,,388 GREENWICH STREET, ,10013
Citigroup inc,NEW YORK,NY,PUT,199500.0,578550.0,0.0003,,3502,,199500.0,,NY,N/A,Q3 2025,650,0000831001,,,388 GREENWICH STREET, ,10013
Citizens financial group inc,PROVIDENCE,RI,"",11607.0,33660.0,0.0005,,793,,11607.0,,RI,0.0022628,Q3 2025,105736,0000759944,,000106743,1 CITIZENS PLAZA, ,02903
Clearstead advisors  llc,CLEVELAND,OH,"",2.0,6.0,0.0,0.0,3061,2725,0.0,0.0,OH,0.0000004,Q4 2021,358134,0000842775,,,1100 SUPERIOR AVENUE EAST,SUITE 700,44114
Close asset management ltd,LONDON,X0,"",56.0,0.0,0.0,0.0,263,253,0.0,0.0,X0,0.0000109,Q2 2024,383033,0001718570,,,10 CROWN PLACE, ,EC2A 4FT
Coatue management llc,NEW YORK,NY,"",228136.0,661594.0,0.0016,0.002,72,69,0.0,0.0,NY,0.0444758,Q1 2022,677,0001135730,,000157910,9 WEST 57TH STREET,25TH FLOOR,10019
Cobalt capital management  inc.,SHORT HILLS,NJ,"",250000.0,725000.0,0.3332,0.5819,21,23,-150000.0,-37.5,NJ,0.0487383,Q4 2024,678,0001086762,,000157543,636 MORRIS TURNPIKE,SUITE 3B,07078
Colonial trust advisors,SPARTANBURG,SC,"",1700.0,4930.0,0.0004,0.0003,576,623,700.0,70.0,SC,0.0003314,Q3 2024,200147,0001567993,,000110257,233 S. PINE ST., ,29302
Colonial trust company,SPARTANBURG,SC,"",0.0,0.0,0.0,0.0005,"",908,-1050.0,-100.0,SC,0.0000000,Q4 2022,613889,0001954093,,,233 S. PINE ST., ,29302
Comerica bank,DALLAS,TX,"",138.0,400.0,0.0,,3641,,138.0,,TX,0.0000269,Q3 2025,695,0000901541,,,1717 MAIN STREET,MC 6404,75201
Commonwealth equity services  llc,WALTHAM,MA,"",71069.0,206000.0,0.0003,0.0003,3933,3860,1347.0,1.9319583,MA,0.0138551,Q3 2019,69950,0000312272,,000008032,29 SAWYER ROAD,ONE UNIVERSITY OFFICE PARK,02453-3483
Comprehensive financial planning  inc.,EAST PETERSBURG,PA,"",21.0,61.0,0.0,0.0001,342,331,0.0,0.0,PA,0.0000041,Q4 2024,695800,0002044855,,000864624,5995 LEMON STREET, ,17520
Concentrum wealth management,SAN JOSE,CA,"",98000.0,284200.0,0.082,0.0953,68,60,0.0,0.0,CA,0.0191054,Q3 2023,430659,0001765387,,000167151,353 PIERCY RD., ,95138
Corecap advisors  llc,SOUTHFIELD,MI,"",4.0,12.0,0.0,0.0,2774,2739,0.0,0.0,MI,0.0000008,Q2 2024,555514,0001902501,,000158819,27777 FRANKLIN ROAD,SUITE 700,48034
Cornerstone planning group llc,FAIRFIELD,NJ,"",15.0,38.0,0.0,0.0,1677,1505,0.0,0.0,NJ,0.0000029,Q2 2023,624324,0001822587,208315014,,"350 PASSAIC AVENUE, SUITE 201", ,07004
Covalent partners llc,CONCORD,MA,"",150000.0,435000.0,1.6384,3.6217,17,6,-336000.0,-69.1358025,MA,0.0292430,Q4 2024,166328,0001531611,,000140494,30 MONUMENT SQUARE,SUITE 250,01742
Covestor ltd,LONDON,MA,"",2163.0,6000.0,0.0033,0.0041,1823,1695,-4.0,-0.184587,MA,0.0004217,Q4 2021,555623,0001909846,,,FLOOR 12,20 FENCHURCH STREET,EC3M 3BY
Crawford fund management  llc,BOSTON,MA,PUT,215000.0,623500.0,0.0998,0.1029,158,154,37000.0,20.7865169,MA,N/A,Q4 2023,476242,0001816427,,000158659,265 FRANKLIN STREET,SUITE 1702,02110-3144
Creative financial designs inc,KOKOMO,IN,"",8.0,23.0,0.0,0.0,2040,1998,0.0,0.0,IN,0.0000016,Q3 2021,395150,0000819864,,,2704 S. GOYER RD, ,46902
Creative planning,OVERLAND PARK,KS,"",10712.0,31065.0,0.0,0.0,3788,3519,-5829.0,-35.2397074,KS,0.0020883,Q3 2024,163330,0001540235,,000105348,5454 W.110TH STREET, ,66211
Crescent park management  l.p.,EAST PALO ALTO,CA,CALL,256900.0,745010.0,0.2991,0.3062,32,28,0.0,0.0,CA,N/A,Q3 2023,288822,0001629984,,000172326,"1950 UNIVERSITY AVENUE, SUITE 204", ,94303
Css llc,CHICAGO,IL,"",0.0,0.0,0.0,0.0002,"",942,-1615.0,-100.0,IL,0.0000000,Q1 2023,191410,0001103646,,,1 NORTH WACKER DRIVE,SUITE 3075,60606
Css llc,CHICAGO,IL,CALL,5000.0,14500.0,0.0007,0.0007,953,922,0.0,0.0,IL,N/A,Q3 2022,191410,0001103646,,,1 NORTH WACKER DRIVE,SUITE 3075,60606
Css llc,CHICAGO,IL,PUT,546200.0,1583980.0,0.071,0.0335,207,435,314600.0,135.8376511,IL,N/A,Q4 2020,191410,0001103646,,,1 NORTH WACKER DRIVE,SUITE 3075,60606
Cwm  llc,OMAHA,NE,"",560.0,2000.0,0.0,0.0,4974,4911,-48.0,-7.8947368,NE,0.0001092,Q1 2019,248238,0001535847,,,14600 BRANCH ST., ,68154
Cypress capital management llc (wy),SHERIDAN,WY,"",146.0,423.0,0.0004,0.0005,163,158,-10.0,-6.4102564,WY,0.0000285,Q1 2021,289222,0001633896,,000130401,PO BOX J, ,82801
D. e. shaw & company .  inc.,NEW YORK,NY,"",1769913.0,5132748.0,0.0029,0.0017,2184,2608,995115.0,128.4354116,NY,0.3450502,Q1 2025,790,0001009207,133839469,,TWO MANHATTAN WEST,"375 NINTH AVENUE, 52ND FLOOR",10001
D. e. shaw & company .  inc.,NEW YORK,NY,CALL,406600.0,1179140.0,0.0007,0.0009,3357,3075,0.0,0.0,NY,N/A,Q4 2023,790,0001009207,133839469,,TWO MANHATTAN WEST,"375 NINTH AVENUE, 52ND FLOOR",10001
Delta asset management llc,MEMPHIS,TN,"",4.0,12.0,0.0,,609,,4.0,,TN,0.0000008,Q3 2025,833,0000860857,,000113688,700 COLONIAL ROAD,STE 220,38117
Deutsche bank ag,FRANKFURT AM MAIN GE,2M,"",332302.0,963676.0,0.0003,0.0003,2197,2140,39368.0,13.4392047,2M,0.0647833,Q1 2014,842,0000948046,,,TAUNUSANLAGE 12 D-60325, ,00000
Drw securities  llc,CHICAGO,IL,CALL,0.0,0.0,0.0,0.0174,"",344,-248100.0,-100.0,IL,N/A,Q2 2025,70347,0001481986,,000045908,540 WEST MADISON STREET,SUITE 2500,60661
Drw securities  llc,CHICAGO,IL,"",99877.0,290642.0,0.0053,,862,,99877.0,,IL,0.0194713,Q3 2025,70347,0001481986,,000045908,540 WEST MADISON STREET,SUITE 2500,60661
Eversource wealth advisors  llc,BIRMINGHAM,AL,"",35.0,102.0,0.0,0.0,4197,,35.0,,AL,0.0000068,Q3 2024,375969,0001710537,,000286340,3500 COLONNADE PKWY,SUITE 150,35243
Farther finance advisors  llc,SAN FRANCISCO,CA,"",513.0,1488.0,0.0,0.0,4243,3907,200.0,63.8977636,CA,0.0001000,Q1 2023,645686,0001992825,,000302050,345 CALIFORNIA STREET,SUITE 600,94104
Federation des caisses desjardins du quebec,LEVIS,A8,"",5408.0,15683.0,0.0001,0.0001,2107,1856,-91.0,-1.6548463,A8,0.0010543,Q1 2024,670147,0002022297,,,100 RUE DES COMMANDEURS, ,G6V5C1
Fifth third bancorp,CINCINNATI,OH,"",213.0,618.0,0.0,0.0,2575,2469,0.0,0.0,OH,0.0000415,Q1 2024,1040,0000035527,,000106275,38 FOUNTAIN SQ PLZ,FIFTH THIRD CENTER,45263
Financially speaking inc,GREENWOOD VILLAGE,CO,"",1000.0,2900.0,0.0019,0.002,135,128,0.0,0.0,CO,0.0001950,Q4 2024,697507,0002040901,,000106255,5889 GREENWOOD PLAZA BLVD.,SUITE 400,80111
First command advisory services  inc.,FORT WORTH,TX,"",0.0,0.0,0.0,0.0,"",586,-100.0,-100.0,TX,0.0000000,Q2 2025,392703,0001727336,,,1 FIRSTCOMM PLAZA, ,76132
First trust advisors lp,WHEATON,IL,"",230899.0,669607.0,0.0005,,2238,,230899.0,,IL,0.0450145,Q3 2025,1082,0001125816,,000104889,120 EAST LIBERTY DRIVE,SUITE 400,60187
Fmr llc,BOSTON,MA,"",42422.0,123024.0,0.0,0.0,3581,2967,-112513.0,-72.6194856,MA,0.0082703,Q1 2018,1098,0000315066,,,245 SUMMER STREET, ,02210
Focus partners wealth,ST LOUIS,MO,"",50038.0,145111.0,0.0002,,2095,,50038.0,,MO,0.0097551,Q3 2025,166854,0001542153,,000159289,190 CARONDELET PLAZA,SUITE 600,63105
Foundations investment advisors  llc,PHOENIX,AZ,"",0.0,0.0,0.0,0.002,"",895,-41118.0,-100.0,AZ,0.0000000,Q2 2025,414256,0001743404,,000175083,4050 E. COTTON CENTER BLVD.,SUITE 40,85040
Game plan financial advisors  llc,WESTLAKE,OH,"",10.0,29.0,0.0,0.0,311,317,0.0,0.0,OH,0.0000019,Q2 2024,463705,0001802952,,000147608,26600,SUITE 270,44145
Geneos wealth management inc.,ENGLEWOOD,CO,"",996.0,2888.0,0.0001,0.0001,2253,2686,-83.0,-7.6923077,CO,0.0001942,Q4 2024,115826,0001764754,,,9635 MAROON CIR,SUITE 100,80112
Geode capital management  llc,BOSTON,MA,"",11224882.0,32558243.0,0.0021,0.0022,1741,1693,971381.0,9.473652,MA,2.1883269,Q1 2014,1188,0001214717,,000115504,100 SUMMER STREET,12TH FLOOR,02110
Glen eagle advisors  llc,KINGSTON,NJ,"",853.0,2474.0,0.0003,0.0006,872,757,-500.0,-36.954915,NJ,0.0001663,Q2 2021,120356,0002029317,,000282920,"4422C ROUTE 27, PO BOX 399", ,08528
Global retirement partners  llc,SAN RAFAEL,CA,"",61441.0,178177.0,0.004,0.0047,1235,1118,0.0,0.0,CA,0.0119781,Q2 2025,413923,0001749744,,,4340 REDWOOD HIGHWAY,SUITE B-60,94903
Global wealth strategies & associates,DENVER,CO,"",15.0,44.0,0.0,0.0,483,373,0.0,0.0,CO,0.0000029,Q4 2022,620924,0001912297,,000316072,3200 CHERRY CREEK SOUTH DRIVE,SUITE 280,80209
Gmt capital corp,ATLANTA,GA,"",1816151.0,5266838.0,0.2387,0.2356,32,32,0.0,0.0,GA,0.3540645,Q1 2025,1214,0001106191,,000160404,2859 PACES FERRY ROAD SE,SUITE 1710,30339
Golden state wealth management  llc,SANTA ANA,CA,"",87.0,253.0,0.0,0.0,1605,1519,2.0,2.3529412,CA,0.0000170,Q4 2024,439582,0001776033,,,201 E. SANDPOINTE AVE,#460,92707
Goldman sachs group inc,NEW YORK,NY,"",7611388.0,22073025.0,0.0027,0.0028,2160,2104,913748.0,13.6428354,NY,1.4838646,Q1 2016,1222,0000886982,,,200 WEST STREET, ,10282
Gradient capital advisors  llc,SAN DIEGO,CA,"",10004.0,29012.0,0.0078,,166,,10004.0,,CA,0.0019503,Q3 2025,392096,0001727917,,000168912,2125 POINSETTIA DRIVE, ,92107
Graham capital management  l.p.,ROWAYTON,CT,"",151722.0,439994.0,0.007,0.0025,666,1156,98008.0,182.4626727,CT,0.0295787,Q4 2023,1236,0001315421,,000160925,40 HIGHLAND AVENUE, ,06853
Great valley advisor group  inc.,WILMINGTON,DE,"",13042.0,37822.0,0.0008,,918,,13042.0,,DE,0.0025426,Q3 2025,436516,0001769897,,,1200 PENNSYLVANIA AVE,SUITE 202,19806
Group one trading llc,CHICAGO,IL,"",546143.0,1583815.0,0.0028,0.0058,2653,1947,-296752.0,-35.2062831,IL,0.1064723,Q3 2023,88675,0000932540,,000037484,425 S FINANCIAL PLACE,SUITE 3400,60605
Group one trading llc,CHICAGO,IL,CALL,5488400.0,15916360.0,0.028,0.03,614,637,1113200.0,25.4434083,IL,N/A,Q2 2016,88675,0000932540,,000037484,425 S FINANCIAL PLACE,SUITE 3400,60605
Group one trading llc,CHICAGO,IL,PUT,194700.0,564630.0,0.001,0.0014,3738,3287,-16000.0,-7.5937352,IL,N/A,Q3 2017,88675,0000932540,,000037484,425 S FINANCIAL PLACE,SUITE 3400,60605
Gts securities llc,NEW YORK,NY,"",28850.0,83665.0,0.0032,,1360,,28850.0,,NY,0.0056244,Q3 2025,113677,0001452765,,000149224,625 AVENUE OF AMERICAS,3RD FLOOR,10011
Guerra advisors inc,MIAMI,FL,"",19.0,55.0,0.0,,894,,19.0,,FL,0.0000037,Q3 2025,698318,0002055363,,,6401 SW 87TH AVE.,STE. 119,33173
Hantz financial services  inc.,SOUTHFIELD,MI,"",2.0,0.0,0.0,0.0,2307,2165,0.0,0.0,MI,0.0000004,Q2 2024,113672,0001071061,383431708,,26200 AMERICAN DRIVE,FIFTH FLOOR,48034
Harbour investments  inc.,MADISON,WI,"",1000.0,2900.0,0.0001,0.0,3165,3141,372.0,59.2356688,WI,0.0001950,Q2 2022,114688,0000810121,,000019258,575 D'ONOFRIO DRIVE,SUITE 300,53719
Headlands technologies llc,CHICAGO,IL,"",55923.0,162177.0,0.013,0.0535,552,325,-88170.0,-61.1896484,IL,0.0109024,Q2 2025,624258,0001570271,,,110 N. WACKER DRIVE,54TH FLOOR,60606
Hhm wealth advisors  llc,CHATTANOOGA,TN,"",113.0,328.0,0.0,0.0,826,834,0.0,0.0,TN,0.0000220,Q3 2022,431293,0001750086,,000150843,1181 KING STREET, ,37403
High note wealth  llc,DEEPHAVEN,MN,"",21.0,61.0,0.0,0.0,854,867,0.0,0.0,MN,0.0000041,Q4 2024,498437,0001807283,843748113,000305768,18258 MINNETONKA BOULEVARD,SUITE 200,55391-3359
Hilltop national bank,CASPER,WY,"",106.0,307.0,0.0001,0.0001,781,778,0.0,0.0,WY,0.0000207,Q2 2025,669113,0002021658,,000020529,P O BOX 2680, ,82602
Hrt financial lp,NEW YORK,NY,PUT,77700.0,225000.0,0.0008,0.0004,2361,2244,51400.0,195.4372624,NY,N/A,Q2 2025,124305,0001475597,,000152144,"3 WORLD TRADE CENTER, 175 GREENWICH STRE",76TH FLOOR,10007
Hsbc holdings plc,LONDON, ,"",184361.0,535951.0,0.0003,0.0002,2079,2423,81855.0,79.8538622, ,0.0359418,Q2 2015,1422,0000873630,,,8 CANADA SQUARE, ,E14 5HQ
Huntington national bank,COLUMBUS,OH,"",219.0,635.0,0.0,0.0,2352,2393,1.0,0.4587156,OH,0.0000427,Q3 2024,1431,0000049205,,,41 SOUTH HIGH STREET,HC 1122,43216
Imc-chicago  llc,CHICAGO,IL,CALL,1861800.0,5399220.0,0.002,0.003,1570,1271,-309700.0,-14.2620309,IL,N/A,Q2 2020,49343,0001452861,,,233 SOUTH WACKER,SUITE 4300,60606
Imc-chicago  llc,CHICAGO,IL,PUT,1112200.0,3225380.0,0.0012,0.0016,1978,1683,-30500.0,-2.669117,IL,N/A,Q2 2020,49343,0001452861,,,233 SOUTH WACKER,SUITE 4300,60606
Imc-chicago  llc,CHICAGO,IL,"",576185.0,1670937.0,0.0006,0.0007,2457,2333,99200.0,20.7972997,IL,0.1123291,Q1 2022,49343,0001452861,,,233 SOUTH WACKER,SUITE 4300,60606
Intech investment management llc,WEST PALM BEACH,FL,"",163171.0,473196.0,0.0042,0.0069,1608,1384,-74877.0,-31.4545806,FL,0.0318107,Q3 2024,107041,0001086318,,,250 SOUTH AUSTRALIAN AVE,SUITE 1700,33401
Invesco ltd.,ATLANTA,GA,"",637713.0,1849369.0,0.0003,0.0003,2644,2603,48946.0,8.3133056,GA,0.1243242,Q4 2016,147,0000914208,980557567,000000000,1331 SPRING STREET NE,SUITE 2500,30309
J. goldman & company lp,NEW YORK,NY,CALL,870300.0,2523870.0,0.0634,,263,,870300.0,,NY,N/A,Q3 2025,132697,0001412741,,,510 MADISON AVENUE,26TH FLOOR,10022
Jane street group  llc,NEW YORK,NY,"",2866350.0,8312416.0,0.0013,0.0,2661,8465,2798775.0,4141.7314095,NY,0.5588042,Q4 2016,264380,0001595888,,,250 VESEY STREET,6TH FLOOR,10281
Jane street group  llc,NEW YORK,NY,CALL,967100.0,2804590.0,0.0004,0.0009,4337,3151,-475300.0,-32.9520244,NY,N/A,Q1 2018,264380,0001595888,,,250 VESEY STREET,6TH FLOOR,10281
Jane street group  llc,NEW YORK,NY,PUT,511700.0,1483930.0,0.0002,0.0003,5487,4724,-26800.0,-4.9767874,NY,N/A,Q4 2017,264380,0001595888,,,250 VESEY STREET,6TH FLOOR,10281
Janus henderson group plc,LONDON,X0,"",166774.0,484478.0,0.0002,0.0003,2014,1936,0.0,0.0,X0,0.0325131,Q3 2023,1357,0001274173,,000119232,201 BISHOPSGATE, ,EC2M 3AE
Jfs wealth advisors  llc,HERMITAGE,PA,"",7.0,21.0,0.0,0.0,1885,1850,0.0,0.0,PA,0.0000014,Q1 2021,199248,0001568068,,000145051,1479 N. HERMITAGE RD, ,16148
Johnson financial group  inc.,RACINE,WI,"",0.0,0.0,0.0,0.0,"",707,-23.0,-100.0,WI,0.0000000,Q2 2025,70338,0001477024,391629756,,555 MAIN STREET, ,53403
Jones financial companies lllp,DES PERES,MO,"",8480.0,24507.0,0.0,0.0,2687,3324,7496.0,761.7886179,MO,0.0016532,Q2 2024,80298,0000815917,,,12555 MANCHESTER ROAD, ,63131
Jpmorgan chase & company,NEW YORK,NY,"",1663068.0,4822897.0,0.0003,0.0004,3414,3048,-157337.0,-8.6429668,NY,0.3242205,Q1 2014,1505,0000019617,,,383 MADISON AVENUE,270 PARK AVENUE,10017
