Filer,City,State,"",Shares Held,Market Value,% of Portfolio,Prior % of Portfolio,Ranking,Prior Ranking,Change in shares,Percent Change,Filer State,% Ownership,Qtr first owned,filer_id,filer_cik,filer_irs_number,filer_crd,street_address,street_address2,zip_code
Advisornet financial  inc,MINNETONKA,MN,"",14.0,41.0,0.0,0.0,2213,2203,0.0,0.0,MN,0.0000027,Q4 2020,177163,0001409362,,,110 CHESHIRE LANE,SUITE 200,55305
Alliancebernstein l.p.,NASHVILLE,TN,"",430640.0,1248856.0,0.0004,0.0004,2241,2135,0.0,0.0,TN,0.0839547,Q1 2014,43469,0001109448,134064930,000108477,501 COMMERCE STREET, ,37203
Altshuler shaham ltd,TEL AVIV, ,"",220.0,638.0,0.0,0.0,362,316,0.0,0.0, ,0.0000429,Q1 2025,401066,0001324290,,,19A HABARZEL STREET,RAMAT HAHAYAL,6971026
Amalgamated bank,NEW YORK,NY,"",13932.0,40000.0,0.0003,0.0003,1908,1862,0.0,0.0,NY,0.0027161,Q1 2021,93649,0000919192,,,275 SEVENTH AVENUE,6TH FLOOR,10001
Ameritas advisory services  llc,LINCOLN,NE,"",0.0,0.0,0.0,0.0001,"",2603,-357.0,-100.0,NE,0.0000000,Q2 2025,554727,0001901275,844383499,000317245,5900 O STREET, ,68510
Ameritas investment partners  inc.,LINCOLN,NE,"",36370.0,105473.0,0.0032,0.0043,1652,1528,-8077.0,-18.1722051,NE,0.0070904,Q2 2024,2817,0001055980,,,5945 R STREET, ,68505
Amundi,PARIS, ,"",0.0,0.0,0.0,0.0,"",1658,-20698.0,-100.0, ,0.0000000,Q2 2024,79487,0001330387,,,91-93 BOULEVARD PASTEUR, ,75015
Anchor investment management  llc,COLUMBIA,SC,"",1067.0,3094.0,0.0003,0.0003,947,920,0.0,0.0,SC,0.0002080,Q1 2023,656019,0001634149,,000135296,3205 DEVINE STREET, ,29205
Ancora advisors llc,CLEVELAND,OH,"",10.0,29.0,0.0,0.0,1924,1917,0.0,0.0,OH,0.0000019,Q1 2025,37274,0001446114,,000124674,"6060 PARKLAND BOULEVARD, SUITE 200", ,44124
Aqr capital management llc,GREENWICH,CT,"",14395.0,41745.0,0.0,,3429,,14395.0,,CT,0.0028064,Q3 2025,166,0001167557,133987414,000111883,ONE GREENWICH PLAZA,SUITE 130,06830
Arax advisory partners,DENVER,CO,"",428.0,1242.0,0.0,,3207,,428.0,,CO,0.0000834,Q3 2025,358486,0001586767,,000133535,"730 17TH STREET, SUITE 107", ,80202
Aristeia capital  l.l.c.,GREENWICH,CT,"",195307.0,566390.0,0.0133,0.0127,232,217,44409.0,29.4298135,CT,0.0380757,Q3 2024,187,0001080171,133953132,,ONE GREENWICH PLAZA,SUITE 300,06830
Arizona state retirement system,PHOENIX,AZ,"",128172.0,371699.0,0.002,0.0023,1675,1577,2113.0,1.6761992,AZ,0.0249875,Q1 2020,190792,0001558481,,,3300 NORTH CENTRAL AVENUE,14TH FLOOR,85012
Assetmark  inc,CONCORD,CA,"",4.0,12.0,0.0,0.0,3172,2929,-33.0,-89.1891892,CA,0.0000008,Q4 2024,79519,0001344551,,000109018,1655 GRANT STREET,10TH FLOOR,94520
Atom investors lp,AUSTIN,TX,"",128785.0,373477.0,0.0283,0.0,407,,128785.0,,TX,0.0251071,Q4 2024,431541,0001738902,,,3711 S MOPAC EXPY,"BUILDING ONE, SUITE 100",78746
Atticus wealth management  llc,PALM BEACH GARDENS,FL,"",0.0,0.0,0.0,0.0002,"",625,-200.0,-100.0,FL,0.0000000,Q2 2024,462432,0001800234,,000296949,11380 PROSPERITY FARMS ROAD,SUITE 201,33410
Balyasny asset management l.p.,CHICAGO,IL,"",322793.0,936100.0,0.0012,0.0006,2143,2350,184568.0,133.5272201,IL,0.0629295,Q1 2024,268,0001218710,,000138111,444 WEST LAKE STREET 50TH FLOOR, ,60606
Bank julius baer & company . ltd  zurich,ZURICH,V8,"",0.0,0.0,0.0,0.0,"",610,-18.0,-100.0,V8,0.0000000,Q1 2025,471317,0001544599,,,HOHLSTRASSE 606,P.O. BOX,8048
Bank of america corp,CHARLOTTE,NC,"",3967143.0,11504715.0,0.0008,0.0018,3165,2354,-3962092.0,-49.9681495,NC,0.7734073,Q1 2014,276,0000070858,560906609,,BANK OF AMERICA CORPORATE CENTER,100 N TRYON ST,28255
