Filer,City,State,"",Shares Held,Market Value,% of Portfolio,Prior % of Portfolio,Ranking,Prior Ranking,Change in shares,Percent Change,Filer State,% Ownership,Qtr first owned,filer_id,filer_cik,filer_irs_number,filer_crd,street_address,street_address2,zip_code
Activest wealth management,AVENTURA,FL,"",369.0,1679.0,0.0005,0.0006,442,405,0.0,0.0,FL,0.0001021,Q2 2024,532354,0001883134,,000156150,20900 NE 30TH AVENUE,SUITE 311,33180
Advisornet financial  inc,MINNETONKA,MN,"",14.0,64.0,0.0,0.0,2167,2001,-44.0,-75.862069,MN,0.0000039,Q4 2020,177163,0001409362,,,110 CHESHIRE LANE,SUITE 200,55305
Advisory services network  llc,ATLANTA,GA,"",2660.0,13248.0,0.0003,0.0003,1517,1517,0.0,0.0,GA,0.0007361,Q4 2022,205031,0001573876,,,6600 PEACHTREE DUNWOODY RD.,"EMBASSY ROW 600, SUITE 575",30328
Algert global llc,SAN FRANCISCO,CA,"",0.0,0.0,,0.0044,"",1353,-26539.0,-100.0,CA,0.0000000,Q3 2023,84,0001275218,,,101 CALIFORNIA STREET,SUITE 3240,94111
Alliancebernstein l.p.,NASHVILLE,TN,"",326940.0,1487577.0,0.0005,0.0005,2119,2117,32150.0,10.9060687,TN,0.0904761,Q1 2014,43469,0001109448,134064930,000108477,501 COMMERCE STREET, ,37203
Allspring global investments holdings  llc,CHARLOTTE,NC,"",1292.0,5878.0,0.0,0.0,2160,2228,289.0,28.8135593,NC,0.0003575,Q4 2021,545310,0001890906,,,1415 VANTAGE PARK DRIVE,3RD FLOOR,28203
Allworth financial lp,FOLSOM,CA,"",197.0,897.0,0.0,0.0,3263,3033,-100.0,-33.6700337,CA,0.0000545,Q1 2021,186197,0001555170,,,340 PALLADIO PKWY,SUITE 501,95630
Alphamark advisors  llc,FT. WRIGHT,KY,"",45.0,0.0,0.0,0.0003,673,692,-225.0,-83.3333333,KY,0.0000125,Q3 2022,100,0001348183,364293631,,810 WRIGHT'S SUMMIT PKWY,SUITE 100,41011
Amalgamated bank,NEW YORK,NY,"",11568.0,53000.0,0.0004,0.0004,1830,1884,2771.0,31.4993748,NY,0.0032013,Q1 2021,93649,0000919192,,,275 SEVENTH AVENUE,6TH FLOOR,10001
American capital advisory  llc,KETCHUM,ID,"",100.0,455.0,0.0003,,428,,100.0,,ID,0.0000277,Q3 2024,666521,0002018007,,000141944,500 NORTH WASHINGTON AVE,PO BOX 4356,83340
Ameriprise financial inc,MINNEAPOLIS,MN,"",12498.0,56866.0,0.0,,3877,,12498.0,,MN,0.0034586,Q1 2024,136,0000820027,,000108257,1099 AMERIPRISE FINANCIAL CENTER, ,55474
Ameritas investment partners  inc.,LINCOLN,NE,"",34292.0,156029.0,0.0051,0.0047,1496,1535,7040.0,25.8329664,NE,0.0094898,Q2 2024,2817,0001055980,,,5945 R STREET, ,68505
