Filer,City,State,"",Shares Held,Market Value,% of Portfolio,Prior % of Portfolio,Ranking,Prior Ranking,Change in shares,Percent Change,Filer State,% Ownership,Qtr first owned,filer_id,filer_cik,filer_irs_number,filer_crd,street_address,street_address2,zip_code
Activest wealth management,AVENTURA,FL,"",0.0,0.0,0.0,0.0005,901,442,-369.0,-100.0,FL,0.0000000,Q2 2024,532354,0001883134,,000156150,20900 NE 30TH AVENUE,SUITE 311,33180
Advent capital management,NEW YORK,NY,"",42800.0,170344.0,0.0039,,197,,42800.0,,NY,0.0113927,Q4 2024,49,0001097278,,,"888 SEVENTH AVENUE, 31ST FLOOR", ,10019
Advisornet financial  inc,MINNETONKA,MN,"",14.0,56.0,0.0,0.0,1942,2167,0.0,0.0,MN,0.0000037,Q4 2020,177163,0001409362,,,110 CHESHIRE LANE,SUITE 200,55305
Advisory services network  llc,ATLANTA,GA,"",264257.0,1051744.0,0.0196,0.0003,723,1517,261597.0,9834.4736842,GA,0.0703410,Q4 2022,205031,0001573876,,,6600 PEACHTREE DUNWOODY RD.,"EMBASSY ROW 600, SUITE 575",30328
Alliancebernstein l.p.,NASHVILLE,TN,"",326940.0,1301221.0,0.0004,0.0005,2185,2119,0.0,0.0,TN,0.0870263,Q1 2014,43469,0001109448,134064930,000108477,501 COMMERCE STREET, ,37203
Allspring global investments holdings  llc,CHARLOTTE,NC,"",0.0,0.0,0.0,0.0,"",2160,-1292.0,-100.0,NC,0.0000000,Q4 2021,545310,0001890906,,,1415 VANTAGE PARK DRIVE,3RD FLOOR,28203
Allworth financial lp,FOLSOM,CA,"",202.0,685.0,0.0,0.0,3514,3263,5.0,2.5380711,CA,0.0000538,Q1 2021,186197,0001555170,,,340 PALLADIO PKWY,SUITE 501,95630
Alphamark advisors  llc,FT. WRIGHT,KY,"",45.0,0.0,0.0,0.0,613,673,0.0,0.0,KY,0.0000120,Q3 2022,100,0001348183,364293631,,810 WRIGHT'S SUMMIT PKWY,SUITE 100,41011
Amalgamated bank,NEW YORK,NY,"",11568.0,46000.0,0.0004,0.0004,1856,1830,0.0,0.0,NY,0.0030792,Q1 2021,93649,0000919192,,,275 SEVENTH AVENUE,6TH FLOOR,10001
American capital advisory  llc,KETCHUM,ID,"",100.0,398.0,0.0002,0.0003,443,428,0.0,0.0,ID,0.0000266,Q3 2024,666521,0002018007,,000141944,500 NORTH WASHINGTON AVE,PO BOX 4356,83340
Ameriprise financial inc,MINNEAPOLIS,MN,"",0.0,0.0,0.0,0.0,"",3877,-12498.0,-100.0,MN,0.0000000,Q1 2024,136,0000820027,,000108257,1099 AMERIPRISE FINANCIAL CENTER, ,55474
Ameritas investment partners  inc.,LINCOLN,NE,"",34292.0,136482.0,0.0044,0.0051,1575,1496,0.0,0.0,NE,0.0091280,Q2 2024,2817,0001055980,,,5945 R STREET, ,68505
