holder,position_type,shares_prev,shares_current,percent_out,delta_shares,flag,period_end,filed_date,ref_price
COVESTOR LTD,EQUITY,,0,,-4.0,NO_CHANGE,2020-06-30,,
OPEROSE ADVISORS LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
SIMPLICITY WEALTHLLC,EQUITY,,0,,16686.0,NO_CHANGE,2020-06-30,,
QUENT CAPITAL LLC,EQUITY,,0,,5.0,NO_CHANGE,2020-06-30,,
COLONIAL TRUST COMPANY,EQUITY,,0,,-1050.0,NO_CHANGE,2020-06-30,,
GLOBAL WEALTH STRATEGIES & ASSOCIATES,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
NEW ENGLAND CAPITAL FINANCIAL ADVISORS LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
QUARRY LP,EQUITY,,0,,188.0,NO_CHANGE,2020-06-30,,
HEADLANDS TECHNOLOGIES LLC,EQUITY,,0,,-88170.0,NO_CHANGE,2020-06-30,,
STRATEGIC INVESTMENT SOLUTIONS INC.,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
CORNERSTONE PLANNING GROUP LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
TRUE WEALTH DESIGN LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
ROOT FINANCIAL PARTNERS LLC,EQUITY,,0,,222.0,NO_CHANGE,2020-06-30,,
NEMES RUSH GROUP LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
FARTHER FINANCE ADVISORS LLC,EQUITY,,0,,200.0,NO_CHANGE,2020-06-30,,
CAPE INVESTMENT ADVISORY INC.,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
TD WATERHOUSE CANADA INC.,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
PICTET ASSET MANAGEMENT HOLDING SA,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
ANCHOR INVESTMENT MANAGEMENT LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
TWIN PEAKS WEALTH ADVISORS LLC,EQUITY,,0,,-113.0,NO_CHANGE,2020-06-30,,
BEAR MOUNTAIN CAPITAL INC.,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
TYCHE WEALTH PARTNERS LLC,EQUITY,,0,,213.0,NO_CHANGE,2020-06-30,,
SMARTLEAF ASSET MANAGEMENT LLC,EQUITY,,0,,404.0,NO_CHANGE,2020-06-30,,
SUSQUEHANNA PORTFOLIO STRATEGIES LLC,EQUITY,,0,,1588975.0,NO_CHANGE,2020-06-30,,
MAIN STREET GROUP LTD,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
PROATHLETE WEALTH MANAGEMENT LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
KAPITALO INVESTIMENTOS LTDA,EQUITY,,0,,-12847.0,NO_CHANGE,2020-06-30,,
HILLTOP NATIONAL BANK,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
TRAPHAGEN INVESTMENT ADVISORS LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
FEDERATION DES CAISSES DESJARDINS DU QUEBEC,EQUITY,,0,,-91.0,NO_CHANGE,2020-06-30,,
POINT72 (DIFC) LTD,EQUITY,,0,,78929.0,NO_CHANGE,2020-06-30,,
SBI SECURITIES COMPANY . LTD.,EQUITY,,0,,-1283.0,NO_CHANGE,2020-06-30,,
R SQUARED LTD,EQUITY,,0,,21700.0,NO_CHANGE,2020-06-30,,
COMPREHENSIVE FINANCIAL PLANNING INC.,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
SLT HOLDINGS LLC,EQUITY,,0,,-40012.0,NO_CHANGE,2020-06-30,,
KIKER WEALTH MANAGEMENT LLC,EQUITY,,0,,-3000.0,NO_CHANGE,2020-06-30,,
FINANCIALLY SPEAKING INC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
KLP KAPITALFORVALTNING AS,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
POLICE & FIREMENS RETIREMENT SYSTEM OF NEW JERSEY,EQUITY,,0,,21081.0,NO_CHANGE,2020-06-30,,
MAY HILL CAPITAL LLC,EQUITY,,0,,-11127.0,NO_CHANGE,2020-06-30,,
BERNARD WEALTH MANAGEMENT CORP.,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
OPTIMIZE FINANCIAL INC,EQUITY,,0,,536082.0,NO_CHANGE,2020-06-30,,
ROSSBY FINANCIAL LCC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
CAITONG INTERNATIONAL ASSET MANAGEMENT COMPANY . LTD,EQUITY,,0,,-12906.0,NO_CHANGE,2020-06-30,,
GUERRA ADVISORS INC,EQUITY,,0,,19.0,NO_CHANGE,2020-06-30,,
VERMILLION WEALTH MANAGEMENT INC.,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
UNIVERSAL- BETEILIGUNGS- UND SERVICEGESELLSCHAFT MBH,EQUITY,,0,,11285.0,NO_CHANGE,2020-06-30,,
PANDORA WEALTH INC.,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
NUVEEN LLC,EQUITY,,0,,335112.0,NO_CHANGE,2020-06-30,,
