holder,position_type,shares_prev,shares_current,percent_out,delta_shares,flag,period_end,filed_date,ref_price
NOMURA HOLDINGS INC,EQUITY,,0,,8141.0,NO_CHANGE,2020-06-30,,
NORGES BANK,EQUITY,,0,,76909.0,NO_CHANGE,2020-06-30,,
NORTHERN TRUST CORP,EQUITY,,0,,119030.0,NO_CHANGE,2020-06-30,,
NORTHWESTERN MUTUAL WEALTH MANAGEMENT COMPANY,EQUITY,,0,,-2984.0,NO_CHANGE,2020-06-30,,
SCULPTOR CAPITAL LP,EQUITY,,0,,1569300.0,NO_CHANGE,2020-06-30,,
PECONIC PARTNERS LLC,EQUITY,,0,,2000000.0,NO_CHANGE,2020-06-30,,
PENTWATER CAPITAL MANAGEMENT LP,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
PENTWATER CAPITAL MANAGEMENT LP,EQUITY,,0,,48626044.0,NO_CHANGE,2020-06-30,,
PNC FINANCIAL SERVICES GROUP INC.,EQUITY,,0,,-20.0,NO_CHANGE,2020-06-30,,
PRICE T ROWE ASSOCIATES INC,EQUITY,,0,,44879.0,NO_CHANGE,2020-06-30,,
PRINCIPAL FINANCIAL GROUP INC,EQUITY,,0,,283.0,NO_CHANGE,2020-06-30,,
PRIVATE TRUST COMPANY NA,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
PROSHARE ADVISORS LLC,EQUITY,,0,,-14830.0,NO_CHANGE,2020-06-30,,
PRUDENTIAL FINANCIAL INC,EQUITY,,0,,200.0,NO_CHANGE,2020-06-30,,
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
RENAISSANCE TECHNOLOGIES LLC,EQUITY,,0,,958800.0,NO_CHANGE,2020-06-30,,
RHUMBLINE ADVISERS,EQUITY,,0,,-18583.0,NO_CHANGE,2020-06-30,,
ROYAL BANK OF CANADA,EQUITY,,0,,-305675.0,NO_CHANGE,2020-06-30,,
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,EQUITY,,0,,311810.0,NO_CHANGE,2020-06-30,,
SG AMERICAS SECURITIES LLC,EQUITY,,0,,-12383.0,NO_CHANGE,2020-06-30,,
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
STATE OF WISCONSIN INVESTMENT BOARD,EQUITY,,0,,-33661.0,NO_CHANGE,2020-06-30,,
STATE STREET CORP,EQUITY,,0,,871963.0,NO_CHANGE,2020-06-30,,
STERLING CAPITAL MANAGEMENT LLC,EQUITY,,0,,18389.0,NO_CHANGE,2020-06-30,,
AMERITAS INVESTMENT PARTNERS INC.,EQUITY,,0,,-8077.0,NO_CHANGE,2020-06-30,,
TEACHER RETIREMENT SYSTEM OF TEXAS,EQUITY,,0,,56206.0,NO_CHANGE,2020-06-30,,
TRUST COMPANY OF VERMONT,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
UBS GROUP AG,EQUITY,,0,,22694842.0,NO_CHANGE,2020-06-30,,
UBS AM A DISTINCT BUSINESS UNIT OF UBS ASSET MANAGEMENT AMERICAS LLC,EQUITY,,0,,-442748.0,NO_CHANGE,2020-06-30,,
OCONNOR A DISTINCT BUSINESS UNIT OF UBS ASSET MANAGEMENT AMERICAS (LLC),EQUITY,,0,,-860.0,NO_CHANGE,2020-06-30,,
US BANCORP DE,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
VANGUARD GROUP INC,EQUITY,,0,,5793996.0,NO_CHANGE,2020-06-30,,
VIRGINIA RETIREMENT SYSTEMS ET AL,EQUITY,,0,,-13700.0,NO_CHANGE,2020-06-30,,
WALLEYE TRADING LLC,EQUITY,,0,,13496.0,NO_CHANGE,2020-06-30,,
WALLEYE TRADING LLC,EQUITY,,0,,34000.0,NO_CHANGE,2020-06-30,,
WALLEYE TRADING LLC,EQUITY,,0,,-136600.0,NO_CHANGE,2020-06-30,,
WELLS FARGO & COMPANY,EQUITY,,0,,454514.0,NO_CHANGE,2020-06-30,,
WHITEBOX ADVISORS LLC,EQUITY,,0,,778400.0,NO_CHANGE,2020-06-30,,
WHITEBOX ADVISORS LLC,EQUITY,,0,,-64144.0,NO_CHANGE,2020-06-30,,
WOLVERINE ASSET MANAGEMENT LLC,EQUITY,,0,,-22113.0,NO_CHANGE,2020-06-30,,
CAPSTONE INVESTMENT ADVISORS LLC,EQUITY,,0,,54833.0,NO_CHANGE,2020-06-30,,
RAYMOND JAMES FINANCIAL INC,EQUITY,,0,,53473.0,NO_CHANGE,2020-06-30,,
STIFEL FINANCIAL CORP,EQUITY,,0,,-792.0,NO_CHANGE,2020-06-30,,
SEI INVESTMENTS COMPANY,EQUITY,,0,,1.0,NO_CHANGE,2020-06-30,,
KBC GROUP NV,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
L & S ADVISORS INC,EQUITY,,0,,242000.0,NO_CHANGE,2020-06-30,,
SUSQUEHANNA INTERNATIONAL GROUP LLP,EQUITY,,0,,1487834.0,NO_CHANGE,2020-06-30,,
SUSQUEHANNA INTERNATIONAL GROUP LLP,EQUITY,,0,,370500.0,NO_CHANGE,2020-06-30,,
SUSQUEHANNA INTERNATIONAL GROUP LLP,EQUITY,,0,,-743900.0,NO_CHANGE,2020-06-30,,
ANCORA ADVISORS LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
ALLIANCEBERNSTEIN L.P.,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
IMC-CHICAGO LLC,EQUITY,,0,,99200.0,NO_CHANGE,2020-06-30,,
IMC-CHICAGO LLC,EQUITY,,0,,-309700.0,NO_CHANGE,2020-06-30,,
IMC-CHICAGO LLC,EQUITY,,0,,-30500.0,NO_CHANGE,2020-06-30,,
SIGNATUREFD LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
NEUBERGER BERMAN GROUP LLC,EQUITY,,0,,-1872.0,NO_CHANGE,2020-06-30,,
BOKF NA,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
COMMONWEALTH EQUITY SERVICES LLC,EQUITY,,0,,1347.0,NO_CHANGE,2020-06-30,,
JOHNSON FINANCIAL GROUP INC.,EQUITY,,0,,-23.0,NO_CHANGE,2020-06-30,,
VOLEON CAPITAL MANAGEMENT LP,EQUITY,,0,,20380.0,NO_CHANGE,2020-06-30,,
DRW SECURITIES LLC,EQUITY,,0,,99877.0,NO_CHANGE,2020-06-30,,
DRW SECURITIES LLC,EQUITY,,0,,-248100.0,NO_CHANGE,2020-06-30,,
CITADEL ADVISORS LLC,EQUITY,,0,,4582544.0,NO_CHANGE,2020-06-30,,
CITADEL ADVISORS LLC,EQUITY,,0,,267600.0,NO_CHANGE,2020-06-30,,
CITADEL ADVISORS LLC,EQUITY,,0,,110100.0,NO_CHANGE,2020-06-30,,
VICTORY CAPITAL MANAGEMENT INC,EQUITY,,0,,7339.0,NO_CHANGE,2020-06-30,,
AMUNDI,EQUITY,,0,,-20698.0,NO_CHANGE,2020-06-30,,
ASSETMARK INC,EQUITY,,0,,-33.0,NO_CHANGE,2020-06-30,,
SUSQUEHANNA FUNDAMENTAL INVESTMENTS LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
JONES FINANCIAL COMPANIES LLLP,EQUITY,,0,,7496.0,NO_CHANGE,2020-06-30,,
NATIONAL BANK OF CANADA,EQUITY,,0,,1.0,NO_CHANGE,2020-06-30,,
GROUP ONE TRADING LLC,EQUITY,,0,,1113200.0,NO_CHANGE,2020-06-30,,
GROUP ONE TRADING LLC,EQUITY,,0,,-296752.0,NO_CHANGE,2020-06-30,,
GROUP ONE TRADING LLC,EQUITY,,0,,-16000.0,NO_CHANGE,2020-06-30,,
AMALGAMATED BANK,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
VOYA INVESTMENT MANAGEMENT LLC,EQUITY,,0,,-38906.0,NO_CHANGE,2020-06-30,,
CIBC PRIVATE WEALTH GROUP LLC,EQUITY,,0,,4378.0,NO_CHANGE,2020-06-30,,
PITCAIRN COMPANY,EQUITY,,0,,-10869.0,NO_CHANGE,2020-06-30,,
PARKSIDE FINANCIAL BANK & TRUST,EQUITY,,0,,-1067.0,NO_CHANGE,2020-06-30,,
CITIZENS FINANCIAL GROUP INC,EQUITY,,0,,11607.0,NO_CHANGE,2020-06-30,,
PEAK6 LLC,EQUITY,,0,,50000.0,NO_CHANGE,2020-06-30,,
PEAK6 LLC,EQUITY,,0,,19000.0,NO_CHANGE,2020-06-30,,
INTECH INVESTMENT MANAGEMENT LLC,EQUITY,,0,,-74877.0,NO_CHANGE,2020-06-30,,
TWO SIGMA ADVISERS LP,EQUITY,,0,,7096.0,NO_CHANGE,2020-06-30,,
BREVAN HOWARD CAPITAL MANAGEMENT LP,EQUITY,,0,,67576.0,NO_CHANGE,2020-06-30,,
HANTZ FINANCIAL SERVICES INC.,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
GTS SECURITIES LLC,EQUITY,,0,,28850.0,NO_CHANGE,2020-06-30,,
PRINCIPAL SECURITIES INC.,EQUITY,,0,,-25.0,NO_CHANGE,2020-06-30,,
HARBOUR INVESTMENTS INC.,EQUITY,,0,,372.0,NO_CHANGE,2020-06-30,,
GENEOS WEALTH MANAGEMENT INC.,EQUITY,,0,,-83.0,NO_CHANGE,2020-06-30,,
BARRETT & COMPANY INC.,EQUITY,,0,,-85.0,NO_CHANGE,2020-06-30,,
SUNBELT SECURITIES INC.,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
TWO SIGMA SECURITIES LLC,EQUITY,,0,,2695.0,NO_CHANGE,2020-06-30,,
