Filer,City,State,"",Shares Held,Market Value,% of Portfolio,Prior % of Portfolio,Ranking,Prior Ranking,Change in shares,Percent Change,Filer State,% Ownership,Qtr first owned,filer_id,filer_cik,filer_irs_number,filer_crd,street_address,street_address2,zip_code
Abacus planning group  inc.,COLUMBIA,SC,"",0.0,0.0,0.0,0.0082,"",234,-16393.0,-100.0,SC,0.0000000,Q1 2025,394423,0001602730,,000107994,2500 DEVINE STREET, ,29205
Advisornet financial  inc,MINNETONKA,MN,"",14.0,43.0,0.0,0.0,2203,2147,0.0,0.0,MN,0.0000032,Q4 2020,177163,0001409362,,,110 CHESHIRE LANE,SUITE 200,55305
Advisory services network  llc,ATLANTA,GA,"",7723.0,22397.0,0.0004,0.0002,1736,1607,4980.0,181.5530441,GA,0.0017830,Q4 2022,205031,0001573876,,,6600 PEACHTREE DUNWOODY RD.,"EMBASSY ROW 600, SUITE 575",30328
Alliancebernstein l.p.,NASHVILLE,TN,"",430640.0,1334984.0,0.0004,0.0003,2135,2279,103700.0,31.7183581,TN,0.0994220,Q1 2014,43469,0001109448,134064930,000108477,501 COMMERCE STREET, ,37203
Allworth financial lp,FOLSOM,CA,"",199.0,617.0,0.0,0.0,4081,3655,2.0,1.0152284,CA,0.0000459,Q1 2021,186197,0001555170,,,340 PALLADIO PKWY,SUITE 501,95630
Altshuler shaham ltd,TEL AVIV, ,"",220.0,682.0,0.0,0.0,316,304,0.0,0.0, ,0.0000508,Q1 2025,401066,0001324290,,,19A HABARZEL STREET,RAMAT HAHAYAL,6971026
Amalgamated bank,NEW YORK,NY,"",13932.0,43000.0,0.0003,0.0003,1862,1842,0.0,0.0,NY,0.0032165,Q1 2021,93649,0000919192,,,275 SEVENTH AVENUE,6TH FLOOR,10001
Ameritas advisory services  llc,LINCOLN,NE,"",357.0,1107.0,0.0001,,2603,,357.0,,NE,0.0000824,Q2 2025,554727,0001901275,844383499,000317245,5900 O STREET, ,68510
Ameritas investment partners  inc.,LINCOLN,NE,"",44447.0,137786.0,0.0043,0.004,1528,1591,3558.0,8.7016068,NE,0.0102615,Q2 2024,2817,0001055980,,,5945 R STREET, ,68505
Amundi,PARIS, ,"",20698.0,59610.0,0.0,0.0,1658,1807,0.0,0.0, ,0.0047786,Q2 2024,79487,0001330387,,,91-93 BOULEVARD PASTEUR, ,75015
Anchor investment management  llc,COLUMBIA,SC,"",1067.0,3308.0,0.0003,0.0003,920,924,0.0,0.0,SC,0.0002463,Q1 2023,656019,0001634149,,000135296,3205 DEVINE STREET, ,29205
Ancora advisors llc,CLEVELAND,OH,"",10.0,31.0,0.0,0.0,1917,1729,0.0,0.0,OH,0.0000023,Q1 2025,37274,0001446114,,000124674,"6060 PARKLAND BOULEVARD, SUITE 200", ,44124
Aristeia capital  l.l.c.,GREENWICH,CT,"",150898.0,467784.0,0.0127,0.0,217,,150898.0,,CT,0.0348379,Q3 2024,187,0001080171,133953132,,ONE GREENWICH PLAZA,SUITE 300,06830
Arizona state retirement system,PHOENIX,AZ,"",126059.0,390783.0,0.0023,0.002,1577,1651,16638.0,15.2054907,AZ,0.0291033,Q1 2020,190792,0001558481,,,3300 NORTH CENTRAL AVENUE,14TH FLOOR,85012
Asset dedication  llc,SAN FRANCISCO,CA,"",2.0,7.0,0.0,0.0,1178,1129,0.0,0.0,CA,0.0000005,Q2 2021,231170,0001475896,,,220 MONTGOMERY ST.,SUITE 1098,94104
Assetmark  inc,CONCORD,CA,"",37.0,115.0,0.0,0.0,2929,2609,33.0,825.0,CA,0.0000085,Q4 2024,79519,0001344551,,000109018,1655 GRANT STREET,10TH FLOOR,94520
