Filer,City,State,"",Shares Held,Market Value,% of Portfolio,Prior % of Portfolio,Ranking,Prior Ranking,Change in shares,Percent Change,Filer State,% Ownership,Qtr first owned,filer_id,filer_cik,filer_irs_number,filer_crd,street_address,street_address2,zip_code
Atom investors lp,AUSTIN,TX,"",0.0,0.0,0.0,0.0059,"",469,-16769.0,-100.0,TX,0.0000000,Q4 2024,431541,0001738902,,,3711 S MOPAC EXPY,"BUILDING ONE, SUITE 100",78746
Atticus wealth management  llc,PALM BEACH GARDENS,FL,"",200.0,620.0,0.0002,0.0002,625,479,0.0,0.0,FL,0.0000462,Q2 2024,462432,0001800234,,000296949,11380 PROSPERITY FARMS ROAD,SUITE 201,33410
Avantax advisory services  inc.,DALLAS,TX,"",102348.0,317279.0,0.0017,0.0015,1864,1950,14693.0,16.7623068,TX,0.0236291,Q2 2022,431235,0001303042,,,3200 OLYMPUS BLVD.,SUITE 100,75019
Avion wealth,THE WOODLANDS,TX,"",0.0,0.0,0.0,0.0,"",992,-32.0,-100.0,TX,0.0000000,Q2 2021,454057,0001792704,,,2829 TECHNOLOGY FOREST BLVD #300, ,77381
Balyasny asset management l.p.,CHICAGO,IL,"",138225.0,428498.0,0.0006,0.0,2350,,138225.0,,IL,0.0319121,Q1 2024,268,0001218710,,000138111,444 WEST LAKE STREET 50TH FLOOR, ,60606
Bangor savings bank,BANGOR,ME,"",0.0,0.0,0.0,0.0001,"",525,-200.0,-100.0,ME,0.0000000,Q2 2024,275,0001352675,,,24 HAMLIN WAY, ,04401
Bank julius baer & company . ltd  zurich,ZURICH,V8,"",18.0,56.0,0.0,0.0,610,612,0.0,0.0,V8,0.0000042,Q1 2025,471317,0001544599,,,HOHLSTRASSE 606,P.O. BOX,8048
Bank of america corp,CHARLOTTE,NC,"",7929235.0,24580628.0,0.0018,0.0021,2354,2192,-1019539.0,-11.3930579,NC,1.8306252,Q1 2014,276,0000070858,560906609,,BANK OF AMERICA CORPORATE CENTER,100 N TRYON ST,28255
Bank of montreal,TORONTO,A6,"",46004.0,142613.0,0.0001,0.0001,2904,2901,8801.0,23.6566944,A6,0.0106210,Q2 2014,1324,0000927971,000000000,,1 FIRST CANADIAN PLACE, ,M5X 1A1
Bank of new york mellon corp,NEW YORK,NY,"",1339434.0,4152244.0,0.0008,0.0006,2377,2462,269741.0,25.2166743,NY,0.3092356,Q1 2014,281,0001390777,,000290078,240 GREENWICH STREET, ,10286
Barclays plc,LONDON,X0,"",2670826.0,8280000.0,0.0019,0.0017,1706,1784,630358.0,30.8928148,X0,0.6166145,Q1 2014,294,0000312069,,,1 CHURCHILL PLACE,CANARY WHARF,E14 5HP
Barclays plc,LONDON,X0,CALL,138700.0,430000.0,0.0001,0.0001,3840,3659,0.0,0.0,X0,N/A,Q2 2024,294,0000312069,,,1 CHURCHILL PLACE,CANARY WHARF,E14 5HP
Barrett & company  inc.,PROVIDENCE,RI,"",85.0,264.0,0.0001,0.0001,629,611,0.0,0.0,RI,0.0000196,Q4 2022,117446,0000887602,,000001175,42 WEYBOSSET ST,42 WEYBOSSET STREET,02903
Bear mountain capital  inc.,SEATTLE,WA,"",2.0,7.0,0.0,0.0,182,343,0.0,0.0,WA,0.0000005,Q4 2023,658955,0002009419,,000151151,2001 6TH AVENUE,STE 2401,98121
Bernard wealth management corp.,ROYAL OAK,MI,"",17.0,53.0,0.0,0.0,304,384,0.0,0.0,MI,0.0000039,Q4 2024,697930,0002056313,,000159533,360 N MAIN STREET,SUITE 430,48067
Blackrock  inc,NEW YORK,NY,"",32065689.0,99403636.0,0.0019,0.0018,2052,2090,2114438.0,7.0595983,NY,7.4030164,Q1 2014,373,0002012383,,000109391,50 HUDSON YARDS, ,10001
Blue trust  inc.,ALPHARETTA,GA,"",23.0,71.0,0.0,0.0,2414,2450,0.0,0.0,GA,0.0000053,Q2 2022,514139,0001856022,,,1125 SANCTUARY PARKWAY,SUITE 500,30009
Bnp paribas asset management holding s.a.,PARIS, ,"",4193.0,13000.0,0.0,,1669,,4193.0,, ,0.0009680,Q2 2025,132696,0001520354,,,1 BOULEVARD HAUSSMANN, ,75009
Bogart wealth  llc,MCLEAN,VA,"",22000.0,68200.0,0.0029,0.0016,387,480,10000.0,83.3333333,VA,0.0050791,Q4 2023,376049,0001715740,,000283886,"2010 CORPORATE RIDGE, SUITE 900", ,22102
Bokf  na,TULSA,OK,"",113.0,350.0,0.0,0.0,1127,1248,0.0,0.0,OK,0.0000261,Q3 2024,63724,0000009634,,,ONE WILLIAMS CENTER, ,74172
Brevan howard capital management lp,ST. HELIER, ,"",164625.0,510338.0,0.003,0.0,1345,,164625.0,, ,0.0380070,Q4 2024,107478,0001512857,,000161292,6TH FLOOR,37 ESPLANADE,JE2 3QA
Caitong international asset management company .  ltd,HONG KONG,K3,"",4381.0,13581.0,0.0097,0.0369,621,502,-12906.0,-74.6572569,K3,0.0010114,Q1 2025,698182,0001963355,,,"UNIT 2401-05, GRAND MILLENNIUM PLAZA",181 QUEEN'S ROAD CENTRAL,00000
California state teachers retirement system,WEST SACRAMENTO,CA,"",518219.0,1606479.0,0.0018,0.0012,1481,1705,171578.0,49.4973186,CA,0.1196414,Q1 2014,502,0001081019,946291617,,100 WATERFRONT PLACE, ,95605
Cape investment advisory  inc.,MCDONOUGH,GA,"",2.0,6.0,0.0,0.0,1169,1132,0.0,0.0,GA,0.0000005,Q1 2023,648702,0001944437,,000146384,1600 PENNSYLVANIA AVE, ,30253
Capstone financial advisors  inc.,DOWNERS GROVE,IL,"",0.0,0.0,0.0,0.0018,"",153,-10002.0,-100.0,IL,0.0000000,Q2 2024,255717,0001599217,,000109341,"2001 BUTTERFIELD ROAD, SUITE 1750", ,60515
Cerity partners llc,NEW YORK,NY,"",21787.0,67540.0,0.0001,0.0002,2528,2309,-17451.0,-44.4747439,NY,0.0050300,Q4 2024,358302,0001566475,,000151559,99 PARK AVENUE,16TH FLOOR,10016
Cetera investment advisers,SCHAUMBURG,IL,"",12221.0,37885.0,0.0001,0.0001,3990,3887,370.0,3.1220994,IL,0.0028215,Q1 2025,328339,0001666741,,000105644,1450 AMERICAN LANE 6TH FLOOR,SUITE 650,60173-2096
Cfo4life group  llc,COPPELL,TX,"",10649.0,33012.0,0.0052,,227,,10649.0,,TX,0.0024585,Q2 2025,289036,0001706351,,000028760,"735 PLAZA BLVD., SUITE 100", ,75019
Charles schwab investment management inc,SAN FRANCISCO,CA,"",4098408.0,12705065.0,0.0022,0.0022,1898,1876,24030.0,0.5897833,CA,0.9462008,Q1 2014,2579,0000884546,,000106753,211 MAIN STREET, ,94105
Cibc private wealth group llc,ATLANTA,GA,"",4579.0,14195.0,0.0,0.0,2138,2886,4378.0,2178.1094527,GA,0.0010572,Q1 2024,94626,0001298088,,,3290 NORTHSIDE PARKWAY,7TH FLOOR,30327
Cibc world markets corp,NEW YORK,NY,"",53640.0,166284.0,0.001,0.002,1316,1327,-36047.0,-40.1920011,NY,0.0123839,Q4 2024,637,0001056527,,000000630,300 MADISON AVENUE,SIXTH FLOOR,10017
Citadel advisors llc,MIAMI,FL,CALL,1863700.0,5777470.0,0.001,0.0017,3867,3002,-1268491.0,-40.49852,FL,N/A,Q1 2014,70431,0001423053,000000000,000148826,830 BRICKELL PLAZA, ,33131
Citadel advisors llc,MIAMI,FL,PUT,2025100.0,6277810.0,0.0011,0.0007,3732,4409,746573.0,58.3932134,FL,N/A,Q1 2014,70431,0001423053,000000000,000148826,830 BRICKELL PLAZA, ,33131
Citadel advisors llc,MIAMI,FL,"",2654791.0,8229853.0,0.0014,0.0007,3312,4500,1432511.0,117.1999051,FL,0.6129125,Q1 2017,70431,0001423053,000000000,000148826,830 BRICKELL PLAZA, ,33131
Citigroup inc,NEW YORK,NY,"",389532.0,1207549.0,0.0006,0.0004,3062,3349,88122.0,29.236588,NY,0.0899314,Q4 2016,650,0000831001,,,388 GREENWICH STREET, ,10013
Citigroup inc,NEW YORK,NY,CALL,127500.0,395250.0,0.0002,0.0002,3760,3713,-37400.0,-22.6804124,NY,N/A,Q4 2022,650,0000831001,,,388 GREENWICH STREET, ,10013
Clearstead advisors  llc,CLEVELAND,OH,"",2.0,7.0,0.0,0.0,2725,2189,0.0,0.0,OH,0.0000005,Q4 2021,358134,0000842775,,,1100 SUPERIOR AVENUE EAST,SUITE 700,44114
Close asset management ltd,LONDON,X0,"",56.0,0.0,0.0,0.0,253,254,0.0,0.0,X0,0.0000129,Q2 2024,383033,0001718570,,,10 CROWN PLACE, ,EC2A 4FT
Coatue management llc,NEW YORK,NY,"",228136.0,707222.0,0.002,0.0029,69,69,0.0,0.0,NY,0.0526698,Q1 2022,677,0001135730,,000157910,9 WEST 57TH STREET,25TH FLOOR,10019
Cobalt capital management  inc.,SHORT HILLS,NJ,"",400000.0,1240000.0,0.5819,0.1272,23,22,310000.0,344.4444444,NJ,0.0923481,Q4 2024,678,0001086762,,000157543,636 MORRIS TURNPIKE,SUITE 3B,07078
Coldstream capital management inc,BELLEVUE,WA,"",0.0,0.0,0.0,0.0,"",3017,-672.0,-100.0,WA,0.0000000,Q1 2025,688,0001082339,,000108805,ONE 100TH AVENUE NE,SUITE 102,98004
Colonial trust advisors,SPARTANBURG,SC,"",1000.0,3100.0,0.0003,0.0001,623,635,600.0,150.0,SC,0.0002309,Q3 2024,200147,0001567993,,000110257,233 S. PINE ST., ,29302
Colonial trust company,SPARTANBURG,SC,"",1050.0,3255.0,0.0005,0.0005,908,914,0.0,0.0,SC,0.0002424,Q4 2022,613889,0001954093,,,233 S. PINE ST., ,29302
Commonwealth equity services  llc,WALTHAM,MA,"",69722.0,216000.0,0.0003,0.0003,3860,3836,-514.0,-0.7318184,MA,0.0160967,Q3 2019,69950,0000312272,,000008032,29 SAWYER ROAD,ONE UNIVERSITY OFFICE PARK,02453-3483
Comprehensive financial planning  inc.,EAST PETERSBURG,PA,"",21.0,65.0,0.0001,0.0001,331,323,0.0,0.0,PA,0.0000048,Q4 2024,695800,0002044855,,000864624,5995 LEMON STREET, ,17520
Concentrum wealth management,SAN JOSE,CA,"",98000.0,303800.0,0.0953,0.1043,60,67,0.0,0.0,CA,0.0226253,Q3 2023,430659,0001765387,,000167151,353 PIERCY RD., ,95138
Corebridge financial  inc.,HOUSTON,TX,"",0.0,0.0,0.0,0.0033,"",1518,-198015.0,-100.0,TX,0.0000000,Q2 2024,563214,0001889539,,000107338,2919 ALLEN PARKWAY,WOODSON TOWER,77019
Corecap advisors  llc,SOUTHFIELD,MI,"",4.0,12.0,0.0,0.0002,2739,2180,-1290.0,-99.690881,MI,0.0000009,Q2 2024,555514,0001902501,,000158819,27777 FRANKLIN ROAD,SUITE 700,48034
Cornerstone planning group llc,FAIRFIELD,NJ,"",15.0,43.0,0.0,0.0,1505,1525,0.0,0.0,NJ,0.0000035,Q2 2023,624324,0001822587,208315014,,"350 PASSAIC AVENUE, SUITE 201", ,07004
Covalent partners llc,CONCORD,MA,"",486000.0,1506600.0,3.6217,1.3489,6,13,391000.0,411.5789474,MA,0.1122030,Q4 2024,166328,0001531611,,000140494,30 MONUMENT SQUARE,SUITE 250,01742
Covestor ltd,LONDON,MA,"",2167.0,7000.0,0.0041,0.004,1695,1689,-5.0,-0.2302026,MA,0.0005003,Q4 2021,555623,0001909846,,,FLOOR 12,20 FENCHURCH STREET,EC3M 3BY
Crawford fund management  llc,BOSTON,MA,PUT,178000.0,551800.0,0.1029,0.1185,154,138,5000.0,2.8901734,MA,N/A,Q4 2023,476242,0001816427,,000158659,265 FRANKLIN STREET,SUITE 1702,02110-3144
Creative financial designs inc,KOKOMO,IN,"",8.0,25.0,0.0,0.0,1998,2042,-2.0,-20.0,IN,0.0000018,Q3 2021,395150,0000819864,,,2704 S. GOYER RD, ,46902
Creative planning,OVERLAND PARK,KS,"",16541.0,51277.0,0.0,0.0,3519,3362,2867.0,20.9667983,KS,0.0038188,Q3 2024,163330,0001540235,,000105348,5454 W.110TH STREET, ,66211
Crescent park management  l.p.,EAST PALO ALTO,CA,CALL,256900.0,796390.0,0.3062,0.3386,28,31,3700.0,1.4612954,CA,N/A,Q3 2023,288822,0001629984,,000172326,"1950 UNIVERSITY AVENUE, SUITE 204", ,94303
Cresset asset management  llc,CHICAGO,IL,"",0.0,0.0,0.0,0.0003,"",1643,-22016.0,-100.0,IL,0.0000000,Q4 2024,431458,0001761013,,000288566,444 W. LAKE STREET,SUITE 4700,60606
Crewe advisors llc,SALT LAKE CITY,UT,"",0.0,0.0,0.0,0.0,"",705,-25.0,-100.0,UT,0.0000000,Q1 2025,391962,0001730033,,000173920,650 S. MAIN STREET,SUITE 700,84101
Css llc,CHICAGO,IL,"",1615.0,5007.0,0.0002,0.0003,942,898,-88.0,-5.1673517,IL,0.0003729,Q1 2023,191410,0001103646,,,1 NORTH WACKER DRIVE,SUITE 3075,60606
Css llc,CHICAGO,IL,CALL,5000.0,15500.0,0.0007,0.0008,922,874,0.0,0.0,IL,N/A,Q3 2022,191410,0001103646,,,1 NORTH WACKER DRIVE,SUITE 3075,60606
Css llc,CHICAGO,IL,PUT,231600.0,717960.0,0.0335,0.0185,435,598,114146.0,97.1835783,IL,N/A,Q4 2020,191410,0001103646,,,1 NORTH WACKER DRIVE,SUITE 3075,60606
Cwm  llc,OMAHA,NE,"",608.0,2000.0,0.0,0.0,4911,4773,-240.0,-28.3018868,NE,0.0001404,Q1 2019,248238,0001535847,,,14600 BRANCH ST., ,68154
Cypress capital management llc (wy),SHERIDAN,WY,"",156.0,484.0,0.0005,0.0005,158,149,0.0,0.0,WY,0.0000360,Q1 2021,289222,0001633896,,000130401,PO BOX J, ,82801
D. e. shaw & company .  inc.,NEW YORK,NY,CALL,406600.0,1260460.0,0.0009,0.0039,3075,2000,-1103400.0,-73.0728477,NY,N/A,Q4 2023,790,0001009207,133839469,,TWO MANHATTAN WEST,"375 NINTH AVENUE, 52ND FLOOR",10001
D. e. shaw & company .  inc.,NEW YORK,NY,"",774798.0,2401874.0,0.0017,0.0005,2608,3476,590345.0,320.0517205,NY,0.1788779,Q1 2025,790,0001009207,133839469,,TWO MANHATTAN WEST,"375 NINTH AVENUE, 52ND FLOOR",10001
Deutsche bank ag,FRANKFURT AM MAIN GE,2M,"",292934.0,908095.0,0.0003,0.0003,2140,2304,39067.0,15.3887666,2M,0.0676298,Q1 2014,842,0000948046,,,TAUNUSANLAGE 12 D-60325, ,00000
Drw securities  llc,CHICAGO,IL,CALL,248100.0,769110.0,0.0174,,344,,248100.0,,IL,N/A,Q2 2025,70347,0001481986,,000045908,540 WEST MADISON STREET,SUITE 2500,60661
Equitec proprietary markets  llc,CHICAGO,IL,"",971.0,3010.0,0.0028,0.002,51,53,0.0,0.0,IL,0.0002242,Q2 2021,123360,0001143261,,,111 W. JACKSON,20TH FL.OOR,60604
Eversource wealth advisors  llc,BIRMINGHAM,AL,"",0.0,0.0,0.0,0.0,"",3722,-62.0,-100.0,AL,0.0000000,Q3 2024,375969,0001710537,,000286340,3500 COLONNADE PKWY,SUITE 150,35243
Farther finance advisors  llc,SAN FRANCISCO,CA,"",313.0,970.0,0.0,0.0,3907,4042,269.0,611.3636364,CA,0.0000723,Q1 2023,645686,0001992825,,000302050,345 CALIFORNIA STREET,SUITE 600,94104
Federation des caisses desjardins du quebec,LEVIS,A8,"",5499.0,17045.0,0.0001,0.0001,1856,1810,30.0,0.5485464,A8,0.0012696,Q1 2024,670147,0002022297,,,100 RUE DES COMMANDEURS, ,G6V5C1
Fifth third bancorp,CINCINNATI,OH,"",213.0,660.0,0.0,0.0,2469,2435,0.0,0.0,OH,0.0000492,Q1 2024,1040,0000035527,,000106275,38 FOUNTAIN SQ PLZ,FIFTH THIRD CENTER,45263
Financially speaking inc,GREENWOOD VILLAGE,CO,"",1000.0,3100.0,0.002,0.0,128,,1000.0,,CO,0.0002309,Q4 2024,697507,0002040901,,000106255,5889 GREENWOOD PLAZA BLVD.,SUITE 400,80111
First command advisory services  inc.,FORT WORTH,TX,"",100.0,310.0,0.0,,586,,100.0,,TX,0.0000231,Q2 2025,392703,0001727336,,,1 FIRSTCOMM PLAZA, ,76132
First horizon advisors  inc.,MEMPHIS,TN,"",198.0,613.0,0.0,0.0,2235,2186,-19.0,-8.7557604,TN,0.0000457,Q2 2021,248358,0001588539,,,"165 MADISON AVE., 14TH FL.", ,38103
Flaharty asset management  llc,CLEARWATER,FL,"",0.0,0.0,0.0,0.0002,"",472,-412.0,-100.0,FL,0.0000000,Q3 2024,358815,0001697882,,,311 PARK PLACE BLVD,STE 150,33759
Fmr llc,BOSTON,MA,"",154935.0,480298.0,0.0,0.0,2967,2953,5375.0,3.5938754,MA,0.0357699,Q1 2018,1098,0000315066,,,245 SUMMER STREET, ,02210
Foundations investment advisors  llc,PHOENIX,AZ,"",41118.0,127466.0,0.002,,895,,41118.0,,AZ,0.0094929,Q2 2025,414256,0001743404,,000175083,4050 E. COTTON CENTER BLVD.,SUITE 40,85040
Game plan financial advisors  llc,WESTLAKE,OH,"",10.0,31.0,0.0,0.0,317,328,0.0,0.0,OH,0.0000023,Q2 2024,463705,0001802952,,000147608,26600,SUITE 270,44145
Garde capital  inc.,SEATTLE,WA,"",0.0,0.0,0.0,0.0,"",826,-2.0,-100.0,WA,0.0000000,Q1 2025,272071,0001616328,,,1301 5TH AVENUE,STE 3030,98101
Geneos wealth management inc.,ENGLEWOOD,CO,"",1079.0,3345.0,0.0001,0.0001,2686,2651,0.0,0.0,CO,0.0002491,Q4 2024,115826,0001764754,,,9635 MAROON CIR,SUITE 100,80112
Geode capital management  llc,BOSTON,MA,"",10253501.0,31789852.0,0.0022,0.0021,1693,1747,982532.0,10.5979429,MA,2.3672292,Q1 2014,1188,0001214717,,000115504,100 SUMMER STREET,12TH FLOOR,02110
Ghp investment advisors  inc.,DENVER,CO,"",0.0,0.0,0.0,0.0,"",954,-1.0,-100.0,CO,0.0000000,Q2 2024,1192,0001401561,,,"1290 N BROADWAY, STE. 1100", ,80203
Glen eagle advisors  llc,KINGSTON,NJ,"",1353.0,4194.0,0.0006,0.0006,757,765,0.0,0.0,NJ,0.0003124,Q2 2021,120356,0002029317,,000282920,"4422C ROUTE 27, PO BOX 399", ,08528
Global retirement partners  llc,SAN RAFAEL,CA,"",61441.0,190466.0,0.0047,,1118,,61441.0,,CA,0.0141849,Q2 2025,413923,0001749744,,,4340 REDWOOD HIGHWAY,SUITE B-60,94903
Global wealth strategies & associates,DENVER,CO,"",15.0,47.0,0.0,0.0,373,469,0.0,0.0,CO,0.0000035,Q4 2022,620924,0001912297,,000316072,3200 CHERRY CREEK SOUTH DRIVE,SUITE 280,80209
Gmt capital corp,ATLANTA,GA,"",1816151.0,5630068.0,0.2356,0.2767,32,34,0.0,0.0,GA,0.4192954,Q1 2025,1214,0001106191,,000160404,2859 PACES FERRY ROAD SE,SUITE 1710,30339
Golden state wealth management  llc,SANTA ANA,CA,"",85.0,264.0,0.0,0.0,1519,1547,0.0,0.0,CA,0.0000196,Q4 2024,439582,0001776033,,,201 E. SANDPOINTE AVE,#460,92707
Goldman sachs group inc,NEW YORK,NY,"",6697640.0,20762684.0,0.0028,0.0029,2104,2134,444076.0,7.1011666,NY,1.5462864,Q1 2016,1222,0000886982,,,200 WEST STREET, ,10282
Goldman sachs group inc,NEW YORK,NY,CALL,0.0,0.0,0.0,0.0001,"",5099,-200000.0,-100.0,NY,N/A,Q4 2024,1222,0000886982,,,200 WEST STREET, ,10282
Graham capital management  l.p.,ROWAYTON,CT,"",53714.0,166513.0,0.0025,0.0314,1156,361,-572069.0,-91.4165134,CT,0.0124010,Q4 2023,1236,0001315421,,000160925,40 HIGHLAND AVENUE, ,06853
Ground swell capital  llc,FOLLY BEACH,SC,"",0.0,0.0,0.0,0.065,"",126,-10528.0,-100.0,SC,0.0000000,Q1 2025,272314,0001534450,,,105 WEST HURON AVENUE,SUITE 205,29439
Group one trading llc,CHICAGO,IL,"",842895.0,2612974.0,0.0058,0.0017,1947,3065,644502.0,324.8612602,IL,0.1945995,Q3 2023,88675,0000932540,,000037484,425 S FINANCIAL PLACE,SUITE 3400,60605
Group one trading llc,CHICAGO,IL,CALL,4375200.0,13563120.0,0.03,0.0442,637,423,-929600.0,-17.5237521,IL,N/A,Q2 2016,88675,0000932540,,000037484,425 S FINANCIAL PLACE,SUITE 3400,60605
Group one trading llc,CHICAGO,IL,PUT,210700.0,653170.0,0.0014,0.0014,3287,3270,47200.0,28.8685015,IL,N/A,Q3 2017,88675,0000932540,,000037484,425 S FINANCIAL PLACE,SUITE 3400,60605
Hantz financial services  inc.,SOUTHFIELD,MI,"",2.0,0.0,0.0,0.0,2165,1664,0.0,0.0,MI,0.0000005,Q2 2024,113672,0001071061,383431708,,26200 AMERICAN DRIVE,FIFTH FLOOR,48034
Harbour investments  inc.,MADISON,WI,"",628.0,1947.0,0.0,0.0001,3141,3104,-21.0,-3.2357473,WI,0.0001450,Q2 2022,114688,0000810121,,000019258,575 D'ONOFRIO DRIVE,SUITE 300,53719
Headlands technologies llc,CHICAGO,IL,"",144093.0,446688.0,0.0535,,325,,144093.0,,IL,0.0332668,Q2 2025,624258,0001570271,,,110 N. WACKER DRIVE,54TH FLOOR,60606
Hexagon capital partners llc,ROGERS,AR,"",0.0,0.0,0.0,0.0,"",1797,-40.0,-100.0,AR,0.0000000,Q2 2023,488352,0001831542,,000305850,2107 S. 54TH STREET, ,72758
Hhm wealth advisors  llc,CHATTANOOGA,TN,"",113.0,351.0,0.0,0.0,834,889,0.0,0.0,TN,0.0000261,Q3 2022,431293,0001750086,,000150843,1181 KING STREET, ,37403
High note wealth  llc,DEEPHAVEN,MN,"",21.0,65.0,0.0,0.0,867,870,0.0,0.0,MN,0.0000048,Q4 2024,498437,0001807283,843748113,000305768,18258 MINNETONKA BOULEVARD,SUITE 200,55391-3359
Hilltop national bank,CASPER,WY,"",106.0,329.0,0.0001,,778,,106.0,,WY,0.0000245,Q2 2025,669113,0002021658,,000020529,P O BOX 2680, ,82602
Hrt financial lp,NEW YORK,NY,PUT,26300.0,81000.0,0.0004,,2244,,26300.0,,NY,N/A,Q2 2025,124305,0001475597,,000152144,"3 WORLD TRADE CENTER, 175 GREENWICH STRE",76TH FLOOR,10007
Hsbc holdings plc,LONDON, ,"",102506.0,315413.0,0.0002,0.0002,2423,2454,8629.0,9.1918148, ,0.0236656,Q2 2015,1422,0000873630,,,8 CANADA SQUARE, ,E14 5HQ
Huntington national bank,COLUMBUS,OH,"",218.0,676.0,0.0,0.0,2393,2312,-263.0,-54.6777547,OH,0.0000503,Q3 2024,1431,0000049205,,,41 SOUTH HIGH STREET,HC 1122,43216
Ifp advisors  inc,TAMPA,FL,"",346.0,1549.0,0.0,0.0,4011,3289,-72.0,-17.2248804,FL,0.0000799,Q1 2020,327916,0001641866,,,3030 NORTH ROCKY POINT DRIVE W. STE 700, ,33607
Imc-chicago  llc,CHICAGO,IL,CALL,2171500.0,6731650.0,0.003,0.0039,1271,1091,-215000.0,-9.009009,IL,N/A,Q2 2020,49343,0001452861,,,233 SOUTH WACKER,SUITE 4300,60606
Imc-chicago  llc,CHICAGO,IL,PUT,1142700.0,3542370.0,0.0016,0.0017,1683,1589,93000.0,8.8596742,IL,N/A,Q2 2020,49343,0001452861,,,233 SOUTH WACKER,SUITE 4300,60606
Imc-chicago  llc,CHICAGO,IL,"",476985.0,1478654.0,0.0007,0.001,2333,2011,-109748.0,-18.7049305,IL,0.1101217,Q1 2022,49343,0001452861,,,233 SOUTH WACKER,SUITE 4300,60606
Inceptionr llc,LAFAYETTE,CA,"",0.0,0.0,0.0,0.0087,"",515,-10137.0,-100.0,CA,0.0000000,Q2 2024,624241,0001821561,,000310565,3427 ST MARYS RD, ,94549
Intech investment management llc,WEST PALM BEACH,FL,"",238048.0,737949.0,0.0069,0.006,1384,1536,34327.0,16.8500056,FL,0.0549582,Q3 2024,107041,0001086318,,,250 SOUTH AUSTRALIAN AVE,SUITE 1700,33401
