Filer,City,State,"",Shares Held,Market Value,% of Portfolio,Prior % of Portfolio,Ranking,Prior Ranking,Change in shares,Percent Change,Filer State,% Ownership,Qtr first owned,filer_id,filer_cik,filer_irs_number,filer_crd,street_address,street_address2,zip_code
683 capital management  llc,NEW YORK,NY,PUT,100000.0,87890.0,0.0068,0.4108,113,61,-30000.0,-23.0769231,NY,N/A,Q1 2021,123998,0001404574,,000156181,1700 BROADWAY,SUITE 4200,10019
683 capital management  llc,NEW YORK,NY,"",11000.0,87890.0,0.0068,,112,,11000.0,,NY,0.0021429,Q3 2023,123998,0001404574,,000156181,1700 BROADWAY,SUITE 4200,10019
Adage capital partners gp  l.l.c.,BOSTON,MA,PUT,0.0,0.0,,0.0109,"",670,-113680.0,-100.0,MA,N/A,Q2 2023,35,0001165408,,000160679,200 CLARENDON STREET,52ND FLOOR,02116
Adage capital partners gp  l.l.c.,BOSTON,MA,"",42150.0,336779.0,0.0008,,787,,42150.0,,MA,0.0082111,Q3 2023,35,0001165408,,000160679,200 CLARENDON STREET,52ND FLOOR,02116
Advisornet financial  inc,MINNETONKA,MN,"",58.0,463.0,0.0,0.0001,1998,1821,29.1,100.6920415,MN,0.0000113,Q4 2020,177163,0001409362,,,110 CHESHIRE LANE,SUITE 200,55305
Advisory services network  llc,ATLANTA,GA,"",127049.0,1015122.0,0.0273,,628,,127049.0,,GA,0.0247500,Q4 2022,205031,0001573876,,,6600 PEACHTREE DUNWOODY RD.,"EMBASSY ROW 600, SUITE 575",30328
Ae wealth management llc,TOPEKA,KS,"",0.0,0.0,,0.0003,"",1835,-1194.5,-100.0,KS,0.0000000,Q2 2023,358428,0001697723,,000330428,2950 SW MCCLURE RD.,SUITE B,66614
Algert global llc,SAN FRANCISCO,CA,"",45650.0,365000.0,0.0172,,836,,45650.0,,CA,0.0088929,Q3 2023,84,0001275218,,,101 CALIFORNIA STREET,SUITE 3240,94111
Alliancebernstein l.p.,NASHVILLE,TN,"",26186.0,209226.0,0.0001,0.0004,2944,2292,3736.4,16.6435037,TN,0.0051012,Q1 2014,43469,0001109448,134064930,000108477,501 COMMERCE STREET, ,37203
Allspring global investments holdings  llc,CHARLOTTE,NC,"",913.0,7294.0,0.0,0.0001,2643,2357,74.6,8.8979008,NC,0.0001779,Q4 2021,545310,0001890906,,,1415 VANTAGE PARK DRIVE,3RD FLOOR,28203
Allworth financial lp,FOLSOM,CA,"",316.0,2525.0,0.0,0.0001,2427,1889,109.0,52.6570048,CA,0.0000616,Q1 2021,186197,0001555170,,,340 PALLADIO PKWY,SUITE 501,95630
Alphamark advisors  llc,FT. WRIGHT,KY,"",45.0,0.0,0.0,0.0009,731,546,5.0,12.5,KY,0.0000088,Q3 2022,100,0001348183,364293631,,810 WRIGHT'S SUMMIT PKWY,SUITE 100,41011
Alpine global management  llc,NEW YORK,NY,"",0.0,0.0,,0.0155,"",183,-1278.6,-100.0,NY,0.0000000,Q4 2022,256266,0001581655,461675291,000153062,140 BROADWAY 38TH FLOOR, ,10005
Amalgamated bank,NEW YORK,NY,"",8877.0,71000.0,0.0006,0.0028,2117,1610,1040.3,13.2747202,NY,0.0017293,Q1 2021,93649,0000919192,,,275 SEVENTH AVENUE,6TH FLOOR,10001
American century companies inc,KANSAS CITY,MO,"",0.0,0.0,,0.0001,"",2580,-3625.1,-100.0,MO,0.0000000,Q3 2021,123,0000748054,,,4500 MAIN STREET, ,64111
American international group  inc.,NEW YORK,NY,"",496.0,3963.0,0.0,0.0001,3051,3017,33.7,7.2896388,NY,0.0000966,Q2 2014,129,0000005272,,,1271 AVE OF THE AMERICAS,FL 37,10020-1304
Anchor investment management  llc,COLUMBIA,SC,"",1066.0,8517.0,0.0011,0.0028,768,628,566.0,113.2,SC,0.0002077,Q1 2023,656019,0001634149,,000135296,3205 DEVINE STREET, ,29205
Anson funds management lp,DALLAS,TX,PUT,0.0,0.0,,2.6585,"",10,-363960.0,-100.0,TX,N/A,Q1 2023,224309,0001491072,,,16000 DALLAS PARKWAY,SUITE 800,75248
Antara capital lp,NEW YORK,NY,PUT,0.0,0.0,0.0,3.6395,"",8,-2515780.0,-100.0,NY,N/A,Q4 2022,431533,0001750183,,000298247,224 W 35TH ST,STE 500 #2165,10001
Aqr capital management llc,GREENWICH,CT,"",257446.0,2056994.0,0.0042,0.0005,1315,2028,251967.7,4599.3775441,CT,0.0501521,Q2 2023,166,0001167557,133987414,000111883,ONE GREENWICH PLAZA,SUITE 130,06830
Aristeia capital  l.l.c.,GREENWICH,CT,PUT,50000.0,399500.0,0.0107,0.0049,85,130,45000.0,900.0,CT,N/A,Q4 2022,187,0001080171,133953132,,ONE GREENWICH PLAZA,SUITE 300,06830
Aristides capital llc,LOUISVILLE,KY,"",0.0,0.0,,0.2169,"",85,-12125.0,-100.0,KY,0.0000000,Q4 2022,258343,0001595521,,000162368,552 E MARKET ST,STE 200,40202
Arizona state retirement system,PHOENIX,AZ,"",40043.0,319944.0,0.0027,0.0052,1629,1277,25459.9,174.5849648,AZ,0.0078006,Q1 2020,190792,0001558481,,,3300 NORTH CENTRAL AVENUE,14TH FLOOR,85012
Asset dedication  llc,SAN FRANCISCO,CA,"",2.0,0.0,0.0,0.0,979,955,1.0,100.0,CA,0.0000004,Q2 2021,231170,0001475896,,,220 MONTGOMERY ST.,SUITE 1098,94104
Avantax advisory services  inc.,DALLAS,TX,"",11593.0,92628.0,0.001,0.0012,1495,1445,9153.2,375.1618985,TX,0.0022584,Q2 2022,431235,0001303042,,,3200 OLYMPUS BLVD.,SUITE 100,75019
Avion wealth,THE WOODLANDS,TX,"",32.0,0.0,0.0,0.0,792,706,17.0,113.3333333,TX,0.0000062,Q2 2021,454057,0001792704,,,2829 TECHNOLOGY FOREST BLVD #300, ,77381
Avior wealth management  llc,OMAHA,NE,"",1.0,7.0,0.0,0.0,1590,1539,-0.1,-9.0909091,NE,0.0000002,Q2 2021,256351,0001599868,,,14301 FIRST NATIONAL BANK PARKWAY,#110,68154
Axa s.a.,PARIS,I0,"",125100.0,999549.0,0.0035,,840,,125100.0,,I0,0.0243703,Q3 2023,245,0000898427,,,25 AVENUE MATIGNON, ,75008
B. riley wealth advisors  inc.,MEMPHIS,TN,"",0.0,0.0,,0.0011,"",1483,-1087.9,-100.0,TN,0.0000000,Q1 2023,68089,0001464811,,,40 S. MAIN ST.,SUITE 1600,38103
Baader bank aktiengesellschaft,UNTERSCHLEISSHEIM,2M,PUT,0.0,0.0,,0.1557,"",129,-70000.0,-100.0,2M,N/A,Q1 2023,570649,0001542629,,,WEIHENSTEPHANER STRASSE 4, ,85716
