Filer,City,State,"",Shares Held,Market Value,% of Portfolio,Prior % of Portfolio,Ranking,Prior Ranking,Change in shares,Percent Change,Filer State,% Ownership,Qtr first owned,filer_id,filer_cik,filer_irs_number,filer_crd,street_address,street_address2,zip_code
Arizona state retirement system,PHOENIX,AZ,"",54513.0,202788.0,0.0014,0.0026,1922,1657,-936.0,-1.6880377,AZ,0.0207055,Q1 2020,190792,0001558481,,,3300 NORTH CENTRAL AVENUE,14TH FLOOR,85012
Asset dedication  llc,SAN FRANCISCO,CA,"",2.0,0.0,0.0,0.0,974,978,0.0,0.0,CA,0.0000008,Q2 2021,231170,0001475896,,,220 MONTGOMERY ST.,SUITE 1098,94104
Avantax advisory services  inc.,DALLAS,TX,"",26041.0,96873.0,0.0009,0.001,1596,1524,9378.0,56.2803817,TX,0.0098911,Q2 2022,431235,0001303042,,,3200 OLYMPUS BLVD.,SUITE 100,75019
Avion wealth,THE WOODLANDS,TX,"",32.0,1000.0,0.0003,0.0,832,1063,0.0,0.0,TX,0.0000122,Q2 2021,454057,0001792704,,,2829 TECHNOLOGY FOREST BLVD #300, ,77381
Avior wealth management  llc,OMAHA,NE,"",1.0,3.0,0.0,,3824,,1.0,,NE,0.0000004,Q2 2021,256351,0001599868,,,14301 FIRST NATIONAL BANK PARKWAY,#110,68154
Axa s.a.,PARIS,I0,"",125100.0,465372.0,0.0014,0.0025,945,882,0.0,0.0,I0,0.0475163,Q3 2023,245,0000898427,,,25 AVENUE MATIGNON, ,75008
Axq capital  lp,JERSEY CITY,NJ,"",0.0,0.0,,0.1562,"",234,-95800.0,-100.0,NJ,0.0000000,Q4 2023,623891,0001916908,,000318863,525 WASHINGTON BLVD,SUITE #2110,07310
Baader bank aktiengesellschaft,UNTERSCHLEISSHEIM,2M,"",0.0,0.0,,0.0039,"",294,-11820.0,-100.0,2M,0.0000000,Q1 2023,570649,0001542629,,,WEIHENSTEPHANER STRASSE 4, ,85716
Balyasny asset management l.p.,CHICAGO,IL,"",1481775.0,5512203.0,0.0096,,1181,,1481775.0,,IL,0.5628171,Q1 2024,268,0001218710,,000138111,444 WEST LAKE STREET 50TH FLOOR, ,60606
Bank of america corp,CHARLOTTE,NC,"",916689.0,3410082.0,0.0003,0.0002,3990,4411,591225.0,181.6560357,NC,0.3481826,Q1 2014,276,0000070858,560906609,,BANK OF AMERICA CORPORATE CENTER,100 N TRYON ST,28255
Bank of america corp,CHARLOTTE,NC,PUT,133000.0,494760.0,0.0,0.0003,5357,3979,-367700.0,-73.4371879,NC,N/A,Q3 2020,276,0000070858,560906609,,BANK OF AMERICA CORPORATE CENTER,100 N TRYON ST,28255
Bank of montreal,TORONTO,A6,"",13674.0,51005.0,0.0,0.0001,3448,3035,-23015.0,-62.7299736,A6,0.0051937,Q2 2014,1324,0000927971,000000000,,1 FIRST CANADIAN PLACE, ,M5X 1A1
Bank of montreal,TORONTO,A6,PUT,0.0,0.0,,0.0,"",3741,-2684.0,-100.0,A6,N/A,Q1 2022,1324,0000927971,000000000,,1 FIRST CANADIAN PLACE, ,M5X 1A1
Bank of new york mellon corp,NEW YORK,NY,"",564537.0,2100076.0,0.0004,0.0008,2743,2518,-42796.0,-7.0465461,NY,0.2144260,Q1 2014,281,0001390777,,000290078,240 GREENWICH STREET, ,10286
Barclays plc,LONDON,X0,"",120127.0,446000.0,0.0002,0.0009,3664,2716,-298750.0,-71.3216529,X0,0.0456274,Q1 2014,294,0000312069,,,1 CHURCHILL PLACE,CANARY WHARF,E14 5HP
Barclays plc,LONDON,X0,PUT,0.0,0.0,,0.0014,"",2340,-637667.0,-100.0,X0,N/A,Q4 2023,294,0000312069,,,1 CHURCHILL PLACE,CANARY WHARF,E14 5HP
Barrett & company  inc.,PROVIDENCE,RI,"",85.0,316.0,0.0001,0.0003,601,584,0.0,0.0,RI,0.0000323,Q4 2022,117446,0000887602,,000001175,42 WEYBOSSET ST,42 WEYBOSSET STREET,02903
Bayesian capital management  lp,BROOKLYN,NY,"",50604.0,188247.0,0.018,0.0593,657,356,-40696.0,-44.5739321,NY,0.0192207,Q1 2022,328433,0001632551,,,54 COLERIDGE STREET, ,11235
Beaird harris wealth management  llc,DALLAS,TX,"",286.0,1064.0,0.0001,0.0002,541,480,0.0,0.0,TX,0.0001086,Q4 2021,570743,0001908938,,000107238,5005 LBJ FWY,SUITE 1700,75244
Bear mountain capital  inc.,SEATTLE,WA,"",2.0,6.0,0.0,0.0,220,232,0.0,0.0,WA,0.0000008,Q4 2023,658955,0002009419,,000151151,2001 6TH AVENUE,STE 2401,98121
Belvedere trading llc,CHICAGO,IL,PUT,0.0,0.0,,0.0001,"",532,-10800.0,-100.0,IL,N/A,Q4 2021,288569,0001632341,,000132605,10 S. RIVERSIDE PLAZA,SUITE 2100,60606
Belvedere trading llc,CHICAGO,IL,CALL,0.0,0.0,,0.0001,"",581,-7700.0,-100.0,IL,N/A,Q2 2022,288569,0001632341,,000132605,10 S. RIVERSIDE PLAZA,SUITE 2100,60606
Belvedere trading llc,CHICAGO,IL,"",0.0,0.0,,0.0,"",636,-3939.0,-100.0,IL,0.0000000,Q3 2023,288569,0001632341,,000132605,10 S. RIVERSIDE PLAZA,SUITE 2100,60606
Benjamin edwards inc,CLAYTON,MO,"",21.0,0.0,0.0,0.0,709,638,0.0,0.0,MO,0.0000080,Q2 2021,132178,0001451623,,000146936,ONE NORTH BRENTWOOD BOULEVARD,SUITE 850,63105
Blackrock  inc,NEW YORK,NY,"",9569033.0,35596802.0,0.0008,0.0014,2650,2437,913285.0,10.5511967,NY,3.6345704,Q1 2014,373,0002012383,,000109391,50 HUDSON YARDS, ,10001
Blue trust  inc.,ALPHARETTA,GA,"",23.0,86.0,0.0,0.0,2117,2637,0.0,0.0,GA,0.0000087,Q2 2022,514139,0001856022,,,1125 SANCTUARY PARKWAY,SUITE 500,30009
Blueshift asset management  llc,RED BANK,NJ,"",33939.0,126253.0,0.0656,,264,,33939.0,,NJ,0.0128909,Q2 2022,431075,0001727827,,000290637,"151 BODMAN PLACE, SUITE 301", ,07701
Bogart wealth  llc,MCLEAN,VA,"",100.0,372.0,0.0,0.0,1023,992,0.0,0.0,VA,0.0000380,Q4 2023,376049,0001715740,,000283886,"2010 CORPORATE RIDGE, SUITE 900", ,22102
Boothbay fund management  llc,NEW YORK,NY,"",0.0,0.0,,0.0042,"",1364,-26647.0,-100.0,NY,0.0000000,Q3 2023,289317,0001549230,,000163706,140 EAST 45TH STREET,16TH FLOOR,10017
Boulder hill capital management lp,NEW YORK,NY,"",763900.0,2841708.0,1.1698,,45,,763900.0,,NY,0.2901493,Q1 2024,555517,0001859029,861257181,,888 SEVENTH AVENUE, ,10106
Brevan howard capital management lp,ST. HELIER, ,PUT,450000.0,1674000.0,0.0151,0.0187,179,160,200000.0,80.0, ,N/A,Q2 2023,107478,0001512857,,000161292,6TH FLOOR,37 ESPLANADE,JE2 3QA
Brown brothers harriman & company,NEW YORK,NY,"",500.0,1860.0,0.0,0.0,1094,1035,0.0,0.0,NY,0.0001899,Q4 2021,460,0000014661,,,140 BROADWAY, ,10005-1101
Btg pactual global asset management ltd,HAMILTON,D0,PUT,50000.0,186000.0,0.031,0.1181,138,54,0.0,0.0,D0,N/A,Q3 2023,199802,0001567992,981088423,000159873,CLARENDON HOUSE,2 CHURCH STREET,HM 11
Caas capital management lp,NEW YORK,NY,"",0.0,0.0,,0.0157,"",376,-24200.0,-100.0,NY,0.0000000,Q4 2023,471556,0001802881,834616693,000306096,800 THIRD AVE 26TH FLOOR, ,10022
California public employees retirement system,SACRAMENTO,CA,"",0.0,0.0,,0.0012,"",1163,-263623.0,-100.0,CA,0.0000000,Q1 2014,501,0000919079,,,400 Q ST,SUITE 4800,95811
California state teachers retirement system,WEST SACRAMENTO,CA,"",203391.0,756615.0,0.001,0.0018,1948,1687,-6210.0,-2.9627721,CA,0.0772533,Q1 2014,502,0001081019,946291617,,100 WATERFRONT PLACE, ,95605
Cambridge investment research advisors  inc.,FAIRFIELD,IA,"",0.0,0.0,,0.0003,"",3084,-10464.0,-100.0,IA,0.0000000,Q2 2017,509,0001419186,,,1776 PLEASANT PLAIN ROAD, ,52556
Campbell & company investment adviser llc,BALTIMORE,MD,"",172438.0,641469.0,0.0553,0.0318,592,855,114689.0,198.5991099,MD,0.0654965,Q4 2023,515,0001353570,,000134332,2850 QUARRY LAKE DRIVE, ,21209
Canada pension plan investment board,TORONTO ONTARIO,A6,"",717138.0,2667753.0,0.0028,0.0055,846,684,0.0,0.0,A6,0.2723879,Q3 2023,517,0001283718,,,ONE QUEEN STREET EAST,STE 2500,M5C2W5
Cape investment advisory  inc.,MCDONOUGH,GA,"",35.0,130.0,0.0001,0.0,916,1113,19.0,118.75,GA,0.0000133,Q1 2023,648702,0001944437,,000146384,1600 PENNSYLVANIA AVE, ,30253
Capstone investment advisors  llc,NEW YORK,NY,"",549271.0,2043288.0,0.0074,,770,,549271.0,,NY,0.2086276,Q1 2024,3283,0001426196,,000155563,7 WORLD TRADE CENTER,"250 GREENWICH STREET, 32ND FLOOR",10007
Capula management ltd,GRAND CAYMAN,E9,"",0.0,0.0,,0.0563,"",68,-229827.0,-100.0,E9,0.0000000,Q2 2023,328136,0001557017,,000163729,PO BOX 309,UGLAND HOUSE,KY1-1104
Centiva capital  lp,NEW YORK,NY,"",43128.0,160436.0,0.0039,0.0227,1529,634,-113263.0,-72.4229655,NY,0.0163811,Q2 2023,391236,0001692507,,000286299,66 HUDSON BOULEVARD E,56TH FLOOR,10001
Charles schwab investment management inc,SAN FRANCISCO,CA,"",463700.0,1724964.0,0.0004,0.0005,2633,2597,112841.0,32.1613526,CA,0.1761255,Q1 2014,2579,0000884546,,000106753,211 MAIN STREET, ,94105
Cibc private wealth group llc,ATLANTA,GA,"",57.0,179.0,0.0,,2995,,57.0,,GA,0.0000217,Q1 2024,94626,0001298088,,,3290 NORTHSIDE PARKWAY,7TH FLOOR,30327
Citadel advisors llc,MIAMI,FL,PUT,1832774.0,6817919.0,0.0013,0.0039,3485,2045,-1350859.0,-42.4313669,FL,N/A,Q1 2014,70431,0001423053,000000000,000148826,830 BRICKELL PLAZA, ,33131
Citadel advisors llc,MIAMI,FL,CALL,4721849.0,17565278.0,0.0034,0.002,2214,2850,3093875.0,190.044497,FL,N/A,Q1 2014,70431,0001423053,000000000,000148826,830 BRICKELL PLAZA, ,33131
Citadel advisors llc,MIAMI,FL,"",8161.0,30359.0,0.0,0.0019,12690,2947,-1512003.0,-99.46315,FL,0.0030998,Q1 2017,70431,0001423053,000000000,000148826,830 BRICKELL PLAZA, ,33131
Citigroup inc,NEW YORK,NY,PUT,925000.0,3441000.0,0.0023,0.0029,1995,1725,262848.0,39.6960215,NY,N/A,Q3 2022,650,0000831001,,,388 GREENWICH STREET, ,10013
Citigroup inc,NEW YORK,NY,CALL,150000.0,558000.0,0.0004,0.0001,3490,3968,121400.0,424.4755245,NY,N/A,Q4 2022,650,0000831001,,,388 GREENWICH STREET, ,10013
Citigroup inc,NEW YORK,NY,"",406965.0,1513909.0,0.001,0.0001,2676,4284,393662.0,2959.1971736,NY,0.1545760,Q4 2016,650,0000831001,,,388 GREENWICH STREET, ,10013
Clearstead advisors  llc,CLEVELAND,OH,"",23.0,120.0,0.0,0.0,1499,1492,2.0,9.5238095,OH,0.0000087,Q4 2021,358134,0000842775,,,1100 SUPERIOR AVENUE EAST,SUITE 700,44114
Clearstead trust  llc,PORTLAND,ME,"",0.0,0.0,,0.0,"",411,-17.0,-100.0,ME,0.0000000,Q4 2023,369228,0001708001,,,1 UNION STREET   SUITE 302, ,04101
Coatue management llc,NEW YORK,NY,"",228136.0,848666.0,0.0033,,90,,228136.0,,NY,0.0866521,Q1 2022,677,0001135730,,000157910,9 WEST 57TH STREET,25TH FLOOR,10019
Colonial trust company,SPARTANBURG,SC,"",1050.0,6983.0,0.0013,0.0015,791,761,0.0,0.0,SC,0.0003988,Q4 2022,613889,0001954093,,,233 S. PINE ST., ,29302
Comerica bank,DALLAS,TX,"",1.0,4.0,0.0,0.0,3743,3726,0.0,0.0,TX,0.0000004,Q3 2023,695,0000901541,,,1717 MAIN STREET,MC 6404,75201
Commerce bank,KANSAS CITY,MO,"",43503.0,161831.0,0.0011,0.0018,1157,1060,1268.0,3.0022493,MO,0.0165236,Q2 2023,698,0001009076,,,1000 WALNUT, ,64106
Commonwealth equity services  llc,WALTHAM,MA,"",16575.0,62000.0,0.0001,0.0001,3864,3722,5068.0,44.0427566,MA,0.0062956,Q3 2019,69950,0000312272,,000008032,29 SAWYER ROAD,ONE UNIVERSITY OFFICE PARK,02453-3483
Concentrum wealth management,SAN JOSE,CA,"",98000.0,364560.0,0.1684,0.2556,47,41,18000.0,22.5,CA,0.0372230,Q3 2023,430659,0001765387,,000167151,353 PIERCY RD., ,95138
Concourse financial group securities  inc.,BIRMINGHAM,AL,"",150.0,558.0,0.0,0.0001,2201,2122,0.0,0.0,AL,0.0000570,Q1 2021,119606,0000752798,,,2801 HIGHWAY 280 SOUTH, ,35223
Coppell advisory solutions llc,COPPELL,TX,"",0.0,0.0,,0.0001,"",1468,-117.0,-100.0,TX,0.0000000,Q4 2022,504240,0001848433,274762004,,9111 CYPRESS WATERS BLVD,SUITE 140,75019
Corecap advisors  llc,SOUTHFIELD,MI,"",4.0,15.0,0.0,,2501,,4.0,,MI,0.0000015,Q1 2024,555514,0001902501,,000158819,27777 FRANKLIN ROAD,SUITE 700,48034
Cornerstone planning group llc,FAIRFIELD,NJ,"",7.0,24.0,0.0,0.0,1076,926,0.0,0.0,NJ,0.0000027,Q2 2023,624324,0001822587,208315014,,"350 PASSAIC AVENUE, SUITE 201", ,07004
Covestor ltd,LONDON,MA,"",3712.0,14000.0,0.0089,0.0103,1331,1295,1316.0,54.9248748,MA,0.0014099,Q4 2021,555623,0001909846,,,FLOOR 12,20 FENCHURCH STREET,EC3M 3BY
Crawford fund management  llc,BOSTON,MA,PUT,221000.0,822120.0,0.197,0.0414,112,200,187000.0,550.0,MA,N/A,Q4 2023,476242,0001816427,,000158659,265 FRANKLIN STREET,SUITE 1702,02110-3144
Creative financial designs inc,KOKOMO,IN,"",10.0,37.0,0.0,0.0,1651,1584,0.0,0.0,IN,0.0000038,Q3 2021,395150,0000819864,,,2704 S. GOYER RD, ,46902
Credit suisse ag/,ZURICH,V8,"",198720.0,739238.0,0.0007,0.0012,2441,2212,-1.0,-0.0005032,V8,0.0754791,Q1 2014,760,0000824468,135015677,,PARADEPLATZ 8, ,CH 8001
Crescent park management  l.p.,EAST PALO ALTO,CA,CALL,75300.0,280116.0,0.1089,0.101,27,30,-900.0,-1.1811024,CA,N/A,Q3 2023,288822,0001629984,,000172326,"1950 UNIVERSITY AVENUE, SUITE 204", ,94303
Css llc,CHICAGO,IL,PUT,50154.0,186573.0,0.0108,0.0132,657,619,12745.0,34.0693416,IL,N/A,Q4 2020,191410,0001103646,,,1 NORTH WACKER DRIVE,SUITE 3075,60606
Css llc,CHICAGO,IL,"",834.0,3103.0,0.0002,,785,,834.0,,IL,0.0003168,Q1 2023,191410,0001103646,,,1 NORTH WACKER DRIVE,SUITE 3075,60606
Css llc,CHICAGO,IL,CALL,440.0,1637.0,0.0001,0.0058,794,697,-15958.0,-97.3167459,IL,N/A,Q3 2022,191410,0001103646,,,1 NORTH WACKER DRIVE,SUITE 3075,60606
Cubist systematic strategies  llc,STAMFORD,CT,"",0.0,0.0,,0.011,"",1654,-275226.0,-100.0,CT,0.0000000,Q3 2023,272320,0001603465,364780832,000292081,72 CUMMINGS POINT ROAD, ,06902
Cutler group llc,SAN FRANCISCO,CA,"",4270.0,15000.0,0.0049,0.0051,1105,1365,-5044.0,-54.1550354,CA,0.0016219,Q4 2016,338141,0001534270,943196831,000031730,101 MONTGOMERY ST,SUITE 700,94104
Cutler group llc,SAN FRANCISCO,CA,CALL,91600.0,1000.0,0.0003,0.0054,1939,1330,-475400.0,-83.8447972,CA,N/A,Q4 2015,338141,0001534270,943196831,000031730,101 MONTGOMERY ST,SUITE 700,94104
Cutler group llc,SAN FRANCISCO,CA,PUT,3400.0,17000.0,0.0055,0.0496,1057,390,-187500.0,-98.2189628,CA,N/A,Q3 2016,338141,0001534270,943196831,000031730,101 MONTGOMERY ST,SUITE 700,94104
Cwm  llc,OMAHA,NE,"",493.0,2000.0,0.0,0.0,3990,3731,2.0,0.407332,NE,0.0001873,Q1 2019,248238,0001535847,,,14600 BRANCH ST., ,68154
Cypress capital management llc (wy),SHERIDAN,WY,"",156.0,580.0,0.0006,0.0012,159,150,-16.0,-9.3023256,WY,0.0000593,Q1 2021,289222,0001633896,,000130401,PO BOX J, ,82801
D. e. shaw & company .  inc.,NEW YORK,NY,"",7304068.0,27171133.0,0.0233,0.05,755,432,-2052733.0,-21.9384061,NY,2.7742772,Q4 2019,790,0001009207,133839469,,TWO MANHATTAN WEST,"375 NINTH AVENUE, 52ND FLOOR",10001
D. e. shaw & company .  inc.,NEW YORK,NY,CALL,820800.0,3053376.0,0.0026,0.0005,2284,3417,720800.0,720.8,NY,N/A,Q4 2023,790,0001009207,133839469,,TWO MANHATTAN WEST,"375 NINTH AVENUE, 52ND FLOOR",10001
D. e. shaw & company .  inc.,NEW YORK,NY,PUT,195000.0,725400.0,0.0006,,3286,,195000.0,,NY,N/A,Q1 2024,790,0001009207,133839469,,TWO MANHATTAN WEST,"375 NINTH AVENUE, 52ND FLOOR",10001
Delos wealth advisors  llc,DALLAS,TX,"",0.0,0.0,,0.0001,"",336,-9.0,-100.0,TX,0.0000000,Q3 2023,527621,0001878326,,000300734,"1845 WOODALL RODGERS FWY, STE 1000", ,75201
Deutsche bank ag,FRANKFURT AM MAIN GE,2M,"",10955.0,40753.0,0.0,0.0,3437,3424,2808.0,34.4666748,2M,0.0041610,Q1 2014,842,0000948046,,,TAUNUSANLAGE 12 D-60325, ,00000
Emg holdings  l.p.,OLD GREENWICH,CT,PUT,1310000.0,4873200.0,0.9067,3.2626,19,5,-1941700.0,-59.7133807,CT,N/A,Q3 2021,107394,0001478394,,,53 FOREST AVENUE, ,06870
Emg holdings  l.p.,OLD GREENWICH,CT,CALL,0.0,0.0,,0.301,"",41,-300000.0,-100.0,CT,N/A,Q1 2023,107394,0001478394,,,53 FOREST AVENUE, ,06870
Engineers gate manager lp,NEW YORK,NY,"",108066.0,402006.0,0.0106,0.0804,1314,343,-352330.0,-76.527598,NY,0.0410463,Q2 2017,289127,0001620220,,,767 5TH AVENUE,7TH FLOOR,10153
Equitec proprietary markets  llc,CHICAGO,IL,CALL,0.0,0.0,,1.4512,"",17,-320600.0,-100.0,IL,N/A,Q2 2022,123360,0001143261,,,111 W. JACKSON,20TH FL.OOR,60604
Equitec proprietary markets  llc,CHICAGO,IL,PUT,0.0,0.0,,0.2548,"",39,-56300.0,-100.0,IL,N/A,Q1 2023,123360,0001143261,,,111 W. JACKSON,20TH FL.OOR,60604
Equitec proprietary markets  llc,CHICAGO,IL,"",1087.0,4044.0,0.0025,0.028,64,54,-5100.0,-82.4309035,IL,0.0004129,Q2 2021,123360,0001143261,,,111 W. JACKSON,20TH FL.OOR,60604
Ethic inc.,NEW YORK,NY,"",11237.0,41802.0,0.0011,,1064,,11237.0,,NY,0.0042681,Q1 2024,443218,0001780570,,000282827,99 HUDSON ST.,FLOOR 17,10013
Eudaimonia partners  llc,WINCHESTER,TN,"",0.0,0.0,,0.0184,"",247,-11520.0,-100.0,TN,0.0000000,Q4 2023,470699,0001809043,812564065,,1791 BYPASS ROAD, ,37398
Exoduspoint capital management  lp,NEW YORK,NY,"",0.0,0.0,,0.0046,"",937,-114887.0,-100.0,NY,0.0000000,Q2 2021,431504,0001736225,,000294156,65 E 55TH STREET,5TH FLOOR,10022
Farther finance advisors  llc,SAN FRANCISCO,CA,"",543.0,1705.0,0.0001,0.0,2549,3236,513.0,1710.0,CA,0.0002062,Q1 2023,645686,0001992825,,000302050,345 CALIFORNIA STREET,SUITE 600,94104
Federation des caisses desjardins du quebec,LEVIS,A8,"",1321.0,4914.0,0.0,0.0001,1960,1806,40.0,3.1225605,A8,0.0005018,Q3 2023,670147,0002022297,,,100 RUE DES COMMANDEURS, ,G6V5C1
Fifth third bancorp,CINCINNATI,OH,"",18.0,67.0,0.0,,2356,,18.0,,OH,0.0000068,Q1 2024,1040,0000035527,,000106275,38 FOUNTAIN SQ PLZ,FIFTH THIRD CENTER,45263
Financial avengers  inc.,OAKLAND,CA,"",4.0,13.0,0.0,0.0,153,179,0.0,0.0,CA,0.0000015,Q2 2021,499390,0001844393,,000119636,827 BROADWAY,SUITE 210,94612
Financial synergies wealth advisors  inc.,HOUSTON,TX,"",113.0,421.0,0.0001,0.0006,468,222,-887.0,-88.7,TX,0.0000429,Q2 2022,666114,0002017868,,000105643,"4400 POST OAK PKWY, STE 200", ,77027
First horizon advisors  inc.,MEMPHIS,TN,"",217.0,806.0,0.0,0.0,2177,2138,0.0,0.0,TN,0.0000824,Q2 2021,248358,0001588539,,,"165 MADISON AVE., 14TH FL.", ,38103
Fmr llc,BOSTON,MA,"",38640.0,143742.0,0.0,0.0,3145,3848,34708.0,882.706002,MA,0.0146765,Q1 2018,1098,0000315066,,,245 SUMMER STREET, ,02210
Fny investment advisers  llc,NEW YORK,NY,"",450.0,1000.0,0.0006,0.0033,610,372,-50.0,-10.0,NY,0.0001709,Q3 2023,411312,0001742998,301042656,,"1540 BROADWAY, SUITE 1600", ,10036
Focused wealth management  inc,NEWBURGH,NY,"",0.0,0.0,,0.0,"",973,-16.0,-100.0,NY,0.0000000,Q2 2021,247061,0001586052,,000154828,11 BALMVILLE RD,SUITE 2 NORTH,12550
Fortitude family office  llc,SCOTTSDALE,AZ,"",268.0,997.0,0.0007,0.0009,905,931,76.0,39.5833333,AZ,0.0001018,Q4 2023,657277,0001950506,,000317615,7500 N DOBSON RD,SUITE 151,85256
Geode capital management  llc,BOSTON,MA,"",3972077.0,14779468.0,0.0014,0.0021,2098,1915,654818.0,19.7397309,MA,1.5086993,Q1 2014,1188,0001214717,,000115504,100 SUMMER STREET,12TH FLOOR,02110
Glassman wealth services,VIENNA,VA,"",0.0,0.0,,0.0001,"",1646,-110.0,-100.0,VA,0.0000000,Q4 2017,297601,0001642160,,000151478,8000 TOWERS CRESCENT DRIVE #1450, ,22182
Glen eagle advisors  llc,KINGSTON,NJ,"",1353.0,5033.0,0.001,0.0011,763,726,479.0,54.805492,NJ,0.0005139,Q2 2021,120356,0002029317,,000282920,"4422C ROUTE 27, PO BOX 399", ,08528
Global retirement partners  llc,SAN RAFAEL,CA,"",995.0,3700.0,0.0001,0.0002,2520,2428,78.0,8.5059978,CA,0.0003779,Q1 2021,413923,0001749744,,,4340 REDWOOD HIGHWAY,SUITE B-60,94903
Global wealth management investment advisory  inc.,FORT LAUDERDALE,FL,"",0.0,0.0,,0.0003,"",424,-213.0,-100.0,FL,0.0000000,Q2 2023,431457,0001767855,,000286005,"1301 EAST BROWARD BLVD, SUITE 200", ,33301
Global wealth strategies & associates,DENVER,CO,"",604.0,2247.0,0.0008,0.0015,278,219,0.0,0.0,CO,0.0002294,Q4 2022,620924,0001912297,,000316072,3200 CHERRY CREEK SOUTH DRIVE,SUITE 280,80209
Gold investment management ltd.,EDMONTON,A0,"",15.0,56.0,0.0,0.0,214,208,3.0,25.0,A0,0.0000057,Q4 2023,660435,0002006008,,000152056,10226 - 104 STREET NW,SUITE 502 FOX TOWER ONE,T5J 1B8
Goldman sachs group inc,NEW YORK,NY,"",430807.0,1602602.0,0.0003,0.0003,4024,3972,124239.0,40.5257561,NY,0.1636318,Q1 2016,1222,0000886982,,,200 WEST STREET, ,10282
