Filer,City,State,"",Shares Held,Market Value,% of Portfolio,Prior % of Portfolio,Ranking,Prior Ranking,Change in shares,Percent Change,Filer State,% Ownership,Qtr first owned,filer_id,filer_cik,filer_irs_number,filer_crd,street_address,street_address2,zip_code
1832 asset management l.p.,TORONTO, ,"",21.0,78.0,0.0,0.0,877,817,0.0,0.0, ,0.0000080,Q4 2023,1225,0000944388,,,40 TEMPERANCE STREET,16TH FLOOR,M5H 0B4
683 capital management  llc,NEW YORK,NY,PUT,0.0,0.0,,0.0055,"",221,-11000.0,-100.0,NY,N/A,Q1 2021,123998,0001404574,,000156181,1700 BROADWAY,SUITE 4200,10019
683 capital management  llc,NEW YORK,NY,"",0.0,0.0,,0.0054,"",222,-10800.0,-100.0,NY,0.0000000,Q3 2023,123998,0001404574,,000156181,1700 BROADWAY,SUITE 4200,10019
Advisornet financial  inc,MINNETONKA,MN,"",58.0,216.0,0.0,0.0,1973,2192,0.0,0.0,MN,0.0000220,Q4 2020,177163,0001409362,,,110 CHESHIRE LANE,SUITE 200,55305
Advisory services network  llc,ATLANTA,GA,"",37763.0,140478.0,0.0031,0.0054,1384,1235,1936.0,5.4037458,GA,0.0143434,Q4 2022,205031,0001573876,,,6600 PEACHTREE DUNWOODY RD.,"EMBASSY ROW 600, SUITE 575",30328
Algert global llc,SAN FRANCISCO,CA,"",0.0,0.0,,0.0089,"",1003,-36150.0,-100.0,CA,0.0000000,Q3 2023,84,0001275218,,,101 CALIFORNIA STREET,SUITE 3240,94111
Alliancebernstein l.p.,NASHVILLE,TN,"",62764.0,233482.0,0.0001,0.0004,2894,2238,-112401.0,-64.168641,TN,0.0238394,Q1 2014,43469,0001109448,134064930,000108477,501 COMMERCE STREET, ,37203
Allspring global investments holdings  llc,CHARLOTTE,NC,"",735.0,2734.0,0.0,0.0,2198,2116,469.0,176.3157895,NC,0.0002792,Q4 2021,545310,0001890906,,,1415 VANTAGE PARK DRIVE,3RD FLOOR,28203
Allworth financial lp,FOLSOM,CA,"",343.0,1276.0,0.0,0.0,2998,2433,-223.0,-39.3992933,CA,0.0001303,Q1 2021,186197,0001555170,,,340 PALLADIO PKWY,SUITE 501,95630
Alphamark advisors  llc,FT. WRIGHT,KY,"",45.0,0.0,0.0,0.0,706,711,0.0,0.0,KY,0.0000171,Q3 2022,100,0001348183,364293631,,810 WRIGHT'S SUMMIT PKWY,SUITE 100,41011
Altshuler shaham ltd,TEL AVIV, ,"",440.0,1637.0,0.0001,,297,,440.0,, ,0.0001671,Q1 2024,401066,0001324290,,,19A HABARZEL STREET,RAMAT HAHAYAL,6971026
Amalgamated bank,NEW YORK,NY,"",12904.0,48000.0,0.0004,0.0014,1880,1830,-15791.0,-55.0304931,NY,0.0049013,Q1 2021,93649,0000919192,,,275 SEVENTH AVENUE,6TH FLOOR,10001
American international group  inc.,NEW YORK,NY,"",2028.0,7544.0,0.0,0.0,2988,3011,398.0,24.4171779,NY,0.0007703,Q2 2014,129,0000005272,,,1271 AVE OF THE AMERICAS,FL 37,10020-1304
Ameriprise financial inc,MINNEAPOLIS,MN,"",29817.0,110919.0,0.0,,3770,,29817.0,,MN,0.0113253,Q1 2024,136,0000820027,,000108257,1099 AMERIPRISE FINANCIAL CENTER, ,55474
Anchor investment management  llc,COLUMBIA,SC,"",1066.0,3966.0,0.0004,0.0007,886,798,0.0,0.0,SC,0.0004049,Q1 2023,656019,0001634149,,000135296,3205 DEVINE STREET, ,29205
Aqr capital management llc,GREENWICH,CT,"",244737.0,910422.0,0.0016,0.0028,1734,1463,473.0,0.1936429,CT,0.0929576,Q2 2023,166,0001167557,133987414,000111883,ONE GREENWICH PLAZA,SUITE 130,06830
Aristeia capital  l.l.c.,GREENWICH,CT,PUT,0.0,0.0,,0.0054,"",81,-50000.0,-100.0,CT,N/A,Q4 2022,187,0001080171,133953132,,ONE GREENWICH PLAZA,SUITE 300,06830
