Filer,City,State,"",Shares Held,Market Value,% of Portfolio,Prior % of Portfolio,Ranking,Prior Ranking,Change in shares,Percent Change,Filer State,% Ownership,Qtr first owned,filer_id,filer_cik,filer_irs_number,filer_crd,street_address,street_address2,zip_code
683 capital management  llc,NEW YORK,NY,PUT,33860.0,1696386.0,0.1264,0.1638,124,102,-13680.0,-28.7757678,NY,N/A,Q1 2021,123998,0001404574,,000156181,1700 BROADWAY,SUITE 4200,10019
683 capital management  llc,NEW YORK,NY,CALL,0.0,0.0,,0.0308,"",130,-8950.0,-100.0,NY,N/A,Q1 2021,123998,0001404574,,000156181,1700 BROADWAY,SUITE 4200,10019
683 capital management  llc,NEW YORK,NY,"",0.0,0.0,,0.0069,"",238,-2000.0,-100.0,NY,0.0000000,Q4 2022,123998,0001404574,,000156181,1700 BROADWAY,SUITE 4200,10019
Aberdeen group plc,EDINBURGH,X0,"",0.0,0.0,,0.0005,"",905,-4318.3,-100.0,X0,0.0000000,Q3 2021,383045,0001716774,,,1 GEORGE STREET, ,EH2 2LL
Achmea investment management b.v.,ZEIST,P7,"",0.0,0.0,,0.0045,"",541,-3477.9,-100.0,P7,0.0000000,Q3 2021,366384,0001697765,,,HANDELSWEG 2, ,3707 NH
Activest wealth management,AVENTURA,FL,"",0.0,0.0,,0.0001,"",442,-6.6,-100.0,FL,0.0000000,Q1 2021,532354,0001883134,,000156150,20900 NE 30TH AVENUE,SUITE 311,33180
Advisornet financial  inc,MINNETONKA,MN,"",41.4,2074.0,0.0002,0.0002,1694,1706,0.0,0.0,MN,0.0000806,Q4 2020,177163,0001409362,,,110 CHESHIRE LANE,SUITE 200,55305
Advisory services network  llc,ATLANTA,GA,"",297.9,14925.0,0.0004,0.0004,2702,2777,10.2,3.5453597,GA,0.0005803,Q4 2022,205031,0001573876,,,6600 PEACHTREE DUNWOODY RD.,"EMBASSY ROW 600, SUITE 575",30328
Ahrens investment partners llc,LAFAYETTE,LA,"",115.0,5762.0,0.0029,,737,,115.0,,LA,0.0002240,Q1 2023,374568,0001698481,204991123,000222517,412 SETTLERS TRACE BLVD., ,70508
Algert global llc,SAN FRANCISCO,CA,"",0.0,0.0,,0.0056,"",1072,-2472.0,-100.0,CA,0.0000000,Q4 2022,84,0001275218,,,101 CALIFORNIA STREET,SUITE 3240,94111
Alliancebernstein l.p.,NASHVILLE,TN,"",22577.0,1131108.0,0.0005,0.0004,2165,2352,1020.6,4.7345568,TN,0.0439815,Q1 2014,43469,0001109448,134064930,000108477,501 COMMERCE STREET, ,37203
Allspring global investments holdings  llc,CHARLOTTE,NC,"",882.6,44218.0,0.0001,0.0001,2323,2443,35.6,4.2030697,NC,0.0017194,Q4 2021,545310,0001890906,,,1415 VANTAGE PARK DRIVE,3RD FLOOR,28203
Allworth financial lp,FOLSOM,CA,"",200.9,10066.0,0.0001,0.0001,1788,1763,11.0,5.7925224,CA,0.0003914,Q1 2021,186197,0001555170,,,340 PALLADIO PKWY,SUITE 501,95630
Alphamark advisors  llc,FT. WRIGHT,KY,"",89.1,4000.0,0.0018,0.001,508,509,49.1,122.75,KY,0.0001736,Q3 2022,100,0001348183,364293631,,810 WRIGHT'S SUMMIT PKWY,SUITE 100,41011
Alpine global management  llc,NEW YORK,NY,"",0.0,0.0,,0.0426,"",123,-3141.7,-100.0,NY,0.0000000,Q4 2022,256266,0001581655,461675291,000153062,140 BROADWAY 38TH FLOOR, ,10005
Amalgamated bank,NEW YORK,NY,"",8232.8,412000.0,0.0035,0.0035,1505,1584,-1281.4,-13.4682895,NY,0.0160380,Q1 2021,93649,0000919192,,,275 SEVENTH AVENUE,6TH FLOOR,10001
American century companies inc,KANSAS CITY,MO,"",3680.8,182936.0,0.0001,0.0001,2445,2385,-24.3,-0.6558527,MO,0.0071704,Q3 2021,123,0000748054,,,4500 MAIN STREET, ,64111
American international group  inc.,NEW YORK,NY,"",520.1,26057.0,0.0002,0.0002,2857,2917,-11.4,-2.144873,NY,0.0010132,Q2 2014,129,0000005272,,,1271 AVE OF THE AMERICAS,FL 37,10020-1304
Americana partners  llc,HOUSTON,TX,"",2302.5,115355.0,0.0182,0.0162,266,245,2.0,0.0869376,TX,0.0044854,Q4 2022,463759,0001797678,,000301354,811 LOUISIANA STREET,SUITE 2420,77002
Ameritas advisory services  llc,LINCOLN,NE,"",383.6,19033.0,0.001,,1669,,383.6,,NE,0.0007473,Q1 2023,554727,0001901275,844383499,000317245,5900 O STREET, ,68510
Amundi,PARIS, ,"",0.0,0.0,,0.0002,"",1427,-8502.5,-100.0, ,0.0000000,Q3 2021,79487,0001330387,,,91-93 BOULEVARD PASTEUR, ,75015
Anchor investment management  llc,COLUMBIA,SC,"",500.0,25050.0,0.0034,0.0029,637,641,0.0,0.0,SC,0.0009740,Q3 2022,656019,0001634149,,000135296,3205 DEVINE STREET, ,29205
Anson funds management lp,DALLAS,TX,PUT,2000.0,100200.0,0.0164,,171,,2000.0,,TX,N/A,Q1 2023,224309,0001491072,,,16000 DALLAS PARKWAY,SUITE 800,75248
Antara capital lp,NEW YORK,NY,PUT,5532870.0,277196787.0,11.1488,2.3724,2,9,3449740.0,165.6036829,NY,N/A,Q4 2022,431533,0001750183,,000298247,224 W 35TH ST,STE 500 #2165,10001
Antara capital lp,NEW YORK,NY,CALL,100000.0,5010000.0,0.2015,,53,,100000.0,,NY,N/A,Q1 2023,431533,0001750183,,000298247,224 W 35TH ST,STE 500 #2165,10001
Aqr arbitrage llc,GREENWICH,CT,PUT,46620.0,2270394.0,0.0695,,298,,46620.0,,CT,N/A,Q1 2023,674,0001167456,,000114626,ONE GREENWICH PLAZA,SUITE 130,06830
Aristeia capital  l.l.c.,GREENWICH,CT,PUT,513020.0,25702302.0,0.6031,0.0469,34,289,455470.0,791.4335361,CT,N/A,Q4 2022,187,0001080171,133953132,,ONE GREENWICH PLAZA,SUITE 300,06830
