Filer,City,State,"",Shares Held,Market Value,% of Portfolio,Prior % of Portfolio,Ranking,Prior Ranking,Change in shares,Percent Change,Filer State,% Ownership,Qtr first owned,filer_id,filer_cik,filer_irs_number,filer_crd,street_address,street_address2,zip_code
Aristeia capital  l.l.c.,GREENWICH,CT,"",92500.0,4634250.0,0.1087,,165,,92500.0,,CT,0.1801960,Q1 2023,187,0001080171,133953132,,ONE GREENWICH PLAZA,SUITE 300,06830
Aristides capital llc,LOUISVILLE,KY,"",0.0,0.0,,0.3795,"",62,-18342.4,-100.0,KY,0.0000000,Q4 2022,258343,0001595521,,000162368,552 E MARKET ST,STE 200,40202
Arizona state retirement system,PHOENIX,AZ,"",14975.1,750253.0,0.0067,0.0057,1165,1274,391.6,2.6852265,AZ,0.0291725,Q1 2020,190792,0001558481,,,3300 NORTH CENTRAL AVENUE,14TH FLOOR,85012
Arrowstreet capital  limited partnership,BOSTON,MA,"",0.0,0.0,,0.0002,"",1277,-3422.6,-100.0,MA,0.0000000,Q4 2022,197,0001164508,,,"200 CLARENDON STREET, 30TH FLOOR", ,02116
Asset dedication  llc,SAN FRANCISCO,CA,"",1.0,0.0,0.0,0.0,943,988,0.0,0.0,CA,0.0000019,Q2 2021,231170,0001475896,,,220 MONTGOMERY ST.,SUITE 1098,94104
Avantax advisory services  inc.,DALLAS,TX,"",2491.9,124846.0,0.0015,0.0018,1413,1345,-860.0,-25.65709,TX,0.0048544,Q2 2022,431235,0001303042,,,3200 OLYMPUS BLVD.,SUITE 100,75019
Avion wealth,THE WOODLANDS,TX,"",15.0,0.0,0.0,0.0003,521,395,0.0,0.0,TX,0.0000292,Q2 2021,454057,0001792704,,,2829 TECHNOLOGY FOREST BLVD #300, ,77381
Avior wealth management  llc,OMAHA,NE,"",1.1,55.0,0.0,0.0,1606,1260,0.0,0.0,NE,0.0000021,Q2 2021,256351,0001599868,,,14301 FIRST NATIONAL BANK PARKWAY,#110,68154
Aviva plc,LONDON,X0,"",0.0,0.0,,0.0014,"",975,-7096.2,-100.0,X0,0.0000000,Q3 2021,243,0001140022,,,EIGHTYFEN,80 FENCHURCH STREET,EC3M 4AE
Axq capital  lp,JERSEY CITY,NJ,"",0.0,0.0,,0.0667,"",300,-2354.8,-100.0,NJ,0.0000000,Q4 2022,623891,0001916908,,000318863,525 WASHINGTON BLVD,SUITE #2110,07310
B. riley wealth advisors  inc.,MEMPHIS,TN,"",1157.5,57991.0,0.0015,,1427,,1157.5,,TN,0.0022549,Q1 2023,68089,0001464811,,,40 S. MAIN ST.,SUITE 1600,38103
Baader bank aktiengesellschaft,UNTERSCHLEISSHEIM,2M,PUT,15260.0,764526.0,0.0389,,195,,15260.0,,2M,N/A,Q1 2023,570649,0001542629,,,WEIHENSTEPHANER STRASSE 4, ,85716
Baader bank aktiengesellschaft,UNTERSCHLEISSHEIM,2M,"",567.7,22183.0,0.0011,,342,,567.7,,2M,0.0011059,Q1 2023,570649,0001542629,,,WEIHENSTEPHANER STRASSE 4, ,85716
Balentine llc,ATLANTA,GA,"",0.0,0.0,,0.005,"",566,-3547.7,-100.0,GA,0.0000000,Q4 2022,297528,0001586678,,000152511,3344 PEACHTREE ROAD,SUITE 2200,30326
Balyasny asset management l.p.,CHICAGO,IL,"",17847.5,894160.0,0.0022,,1781,,17847.5,,IL,0.0347681,Q2 2022,268,0001218710,,000138111,444 WEST LAKE STREET 50TH FLOOR, ,60606
Balyasny asset management l.p.,CHICAGO,IL,CALL,2500.0,125250.0,0.0003,,2295,,2500.0,,IL,N/A,Q1 2023,268,0001218710,,000138111,444 WEST LAKE STREET 50TH FLOOR, ,60606
Bank of america corp,CHARLOTTE,NC,CALL,1041570.0,52182657.0,0.0054,0.0011,1344,2721,804610.0,339.5551992,NC,N/A,Q2 2022,276,0000070858,560906609,,BANK OF AMERICA CORPORATE CENTER,100 N TRYON ST,28255
Bank of america corp,CHARLOTTE,NC,PUT,65010.0,3257001.0,0.0003,0.0001,3932,4906,42080.0,183.5150458,NC,N/A,Q3 2020,276,0000070858,560906609,,BANK OF AMERICA CORPORATE CENTER,100 N TRYON ST,28255
Bank of america corp,CHARLOTTE,NC,"",135793.0,6803230.0,0.0007,0.0001,3217,5299,121867.0,875.1041218,NC,0.2645335,Q1 2014,276,0000070858,560906609,,BANK OF AMERICA CORPORATE CENTER,100 N TRYON ST,28255
Bank of montreal,TORONTO,A6,PUT,23200.0,1162320.0,0.0005,0.0013,1963,1572,-51690.0,-69.0212311,A6,N/A,Q1 2022,1324,0000927971,000000000,,1 FIRST CANADIAN PLACE, ,M5X 1A1
Bank of montreal,TORONTO,A6,CALL,1271630.0,63708663.0,0.0255,0.0006,318,1959,1235630.0,3432.3055556,A6,N/A,Q1 2022,1324,0000927971,000000000,,1 FIRST CANADIAN PLACE, ,M5X 1A1
Bank of montreal,TORONTO,A6,"",2965.3,148561.0,0.0001,0.0,3124,3339,270.3,10.0296846,A6,0.0057766,Q2 2014,1324,0000927971,000000000,,1 FIRST CANADIAN PLACE, ,M5X 1A1
Bank of new york mellon corp,NEW YORK,NY,"",153246.4,7677645.0,0.0017,0.0015,2069,2192,-3057.0,-1.9558116,NY,0.2985339,Q1 2014,281,0001390777,,000290078,240 GREENWICH STREET, ,10286
Banque pictet & cie sa,GENEVA 73,V8,"",4100.0,205410.0,0.002,0.0017,554,592,0.0,0.0,V8,0.0079871,Q2 2022,256074,0001535602,,,60 ROUTE DES ACACIAS, ,1211
Barclays plc,LONDON,X0,CALL,757820.0,37966000.0,0.0174,0.0038,592,1280,547320.0,260.0095012,X0,N/A,Q4 2022,294,0000312069,,,1 CHURCHILL PLACE,CANARY WHARF,E14 5HP
Barclays plc,LONDON,X0,PUT,152230.0,7627000.0,0.0035,0.0008,1288,2366,110040.0,260.8200995,X0,N/A,Q4 2019,294,0000312069,,,1 CHURCHILL PLACE,CANARY WHARF,E14 5HP
Barclays plc,LONDON,X0,"",27418.8,1374000.0,0.0006,0.0006,2499,2599,-4059.3,-12.8956322,X0,0.0534136,Q1 2014,294,0000312069,,,1 CHURCHILL PLACE,CANARY WHARF,E14 5HP
Barrett & company  inc.,PROVIDENCE,RI,"",40.0,2004.0,0.0013,0.0011,516,526,0.0,0.0,RI,0.0000779,Q3 2022,117446,0000887602,,000001175,42 WEYBOSSET ST,42 WEYBOSSET STREET,02903
Bayesian capital management  lp,BROOKLYN,NY,"",21970.0,1100697.0,0.1362,0.0159,221,663,19300.0,722.8464419,NY,0.0427990,Q1 2022,328433,0001632551,,,54 COLERIDGE STREET, ,11235
Beaird harris wealth management  llc,DALLAS,TX,"",30.1,1509.0,0.0003,0.0002,387,628,0.0,0.0,TX,0.0000586,Q4 2021,570743,0001908938,,000107238,5005 LBJ FWY,SUITE 1700,75244
Belpointe asset management llc,RENO,NV,"",401.3,20105.0,0.0011,0.001,2309,2320,0.0,0.0,NV,0.0007818,Q4 2022,383317,0001721242,,000143440,"500 DAMONTE RANCH, PARKWAY BUILDING 700",UNIT 700,89521
Belvedere trading llc,CHICAGO,IL,CALL,38890.0,1948389.0,0.0047,0.0027,43,61,14370.0,58.6052202,IL,N/A,Q2 2022,288569,0001632341,,000132605,10 S. RIVERSIDE PLAZA,SUITE 2100,60606
Belvedere trading llc,CHICAGO,IL,PUT,32150.0,1610715.0,0.0039,0.0004,49,409,28610.0,808.1920904,IL,N/A,Q4 2021,288569,0001632341,,000132605,10 S. RIVERSIDE PLAZA,SUITE 2100,60606
Benjamin edwards inc,CLAYTON,MO,"",10.0,1000.0,0.0002,0.0,681,733,0.0,0.0,MO,0.0000195,Q2 2021,132178,0001451623,,000146936,ONE NORTH BRENTWOOD BOULEVARD,SUITE 850,63105
Berry street capital management llp,LONDON,X0,"",206250.0,3031875.0,0.7638,,25,,206250.0,,X0,0.4017883,Q1 2023,500569,0001804007,000000000,,MICHELIN HOUSE,81 FULHAM ROAD,SW3 6RD
Beryl capital management llc,REDONDO BEACH,CA,PUT,150000.0,7515000.0,5.9095,,7,,150000.0,,CA,N/A,Q1 2023,392484,0001719307,,000269959,225 AVENUE I,STE 205,90277
Blackrock  inc,NEW YORK,NY,"",2066114.3,103512326.0,0.0031,0.0027,1993,2087,-77455.9,-3.6134063,NY,4.0249241,Q1 2014,373,0002012383,,000109391,50 HUDSON YARDS, ,10001
Blue trust  inc.,ALPHARETTA,GA,"",44.5,2000.0,0.0,0.0,1980,1899,11.1,33.2335329,GA,0.0000867,Q2 2022,514139,0001856022,,,1125 SANCTUARY PARKWAY,SUITE 500,30009
Bluefin capital management  llc,NEW YORK,NY,PUT,157470.0,12059105.0,1.4994,,10,,157470.0,,NY,N/A,Q1 2023,120192,0001144208,134176094,000113892,41 MADISON AVENUE,36TH FLOOR,10010
Bluefin capital management  llc,NEW YORK,NY,CALL,15800.0,14220.0,0.0018,0.0002,203,443,14130.0,846.1077844,NY,N/A,Q4 2020,120192,0001144208,134176094,000113892,41 MADISON AVENUE,36TH FLOOR,10010
Blueshift asset management  llc,RED BANK,NJ,"",1151.3,57680.0,0.0241,,325,,1151.3,,NJ,0.0022428,Q2 2022,431075,0001727827,,000290637,"151 BODMAN PLACE, SUITE 301", ,07701
Bnp paribas financial markets,PARIS,I0,"",28111.0,1408361.0,0.002,0.0002,2083,3091,24277.0,633.2029212,I0,0.0547620,Q3 2014,391,0001166588,,,20 BOULEVARD DES ITALIENS, ,75009
Bokf  na,TULSA,OK,"",1000.0,50100.0,0.001,0.0008,840,887,-45.1,-4.3153765,OK,0.0019481,Q3 2021,63724,0000009634,,,ONE WILLIAMS CENTER, ,74172
Boothbay fund management  llc,NEW YORK,NY,CALL,12050.0,603705.0,0.0124,,1186,,12050.0,,NY,N/A,Q1 2023,289317,0001549230,,000163706,140 EAST 45TH STREET,16TH FLOOR,10017
Boulder hill capital management lp,NEW YORK,NY,"",12530.0,627753.0,0.5058,,36,,12530.0,,NY,0.0244092,Q1 2022,555517,0001859029,861257181,,888 SEVENTH AVENUE, ,10106
Boussard & gavaudan investment management llp,LONDON,X0,PUT,1067.6,891090.0,0.0838,,81,,1067.6,,X0,N/A,Q1 2023,270600,0001614986,,,166 PICCADILLY, ,W1J 9EF
Bracebridge capital  llc,BOSTON,MA,PUT,1810.0,9068100.0,2.4205,0.3801,7,22,810.0,81.0,MA,N/A,Q3 2022,421,0001426486,,000158343,888 BOYLSTON STREET,SUITE 1500,02199
Bridgefront capital  llc,AUSTIN,TX,"",1530.2,76663.0,0.0468,,399,,1530.2,,TX,0.0029809,Q1 2023,500636,0001725690,,,115 WILD BASIN ROAD,SUITE 109,78746
Bridgewater associates  lp,WESTPORT,CT,"",0.0,0.0,,0.0014,"",784,-6412.2,-100.0,CT,0.0000000,Q1 2022,443,0001350694,,000105129,ONE NYALA FARMS ROAD, ,06880
Brookfield corp,TORONTO,A6,CALL,0.0,0.0,,0.0015,"",546,-10000.0,-100.0,A6,N/A,Q4 2022,39281,0001001085,,000106793,"BROOKFIELD PLACE, 181 BAY ST, STE 100",PO BOX 762,M5J2T3
Brookstone capital management,WHEATON,IL,"",0.0,0.0,,0.0008,"",803,-1020.9,-100.0,IL,0.0000000,Q2 2021,255578,0001599584,,000141413,1745 SOUTH NAPERVILLE ROAD,SUITE 200,60189
Brown brothers harriman & company,NEW YORK,NY,"",500.0,25050.0,0.0002,0.0002,852,879,0.0,0.0,NY,0.0009740,Q4 2021,460,0000014661,,,140 BROADWAY, ,10005-1101
Cadian capital management  lp,NEW YORK,NY,"",0.0,0.0,,0.5959,"",20,-201836.6,-100.0,NY,0.0000000,Q4 2022,493,0001423686,,000157813,"535 MADISON AVENUE, 36TH FLOOR", ,10022
California public employees retirement system,SACRAMENTO,CA,"",70984.9,3556343.0,0.0032,0.0033,1146,1147,-24628.6,-25.7584964,CA,0.1382832,Q1 2014,501,0000919079,,,400 Q ST,SUITE 4800,95811
California state teachers retirement system,WEST SACRAMENTO,CA,"",64931.7,3253078.0,0.0048,0.0042,1190,1306,-798.9,-1.2154157,CA,0.1264911,Q1 2014,502,0001081019,946291617,,100 WATERFRONT PLACE, ,95605
Cambridge investment research advisors  inc.,FAIRFIELD,IA,"",5766.6,289000.0,0.0014,0.0012,2521,2623,-48.8,-0.8391512,IA,0.0112337,Q2 2017,509,0001419186,,,1776 PLEASANT PLAIN ROAD, ,52556
Canada life assurance company,WINNIPEG,A2,"",2382.7,119000.0,0.0003,0.0005,1956,1890,-2474.4,-50.9439789,A2,0.0046417,Q4 2014,1250,0001046192,000000000,000305404,100 OSBORNE STREET NORTH, ,R3C 1V3
Candriam s.c.a.,STRASSEN, ,"",8228.9,379463.0,0.0026,0.0017,838,852,2142.3,35.1969901, ,0.0160304,Q2 2022,292972,0001537014,,,"19-21, ROUTE D'ARLON", ,8009
Cape investment advisory  inc.,MCDONOUGH,GA,"",8.8,441.0,0.0003,,913,,8.8,,GA,0.0000171,Q1 2023,648702,0001944437,,000146384,1600 PENNSYLVANIA AVE, ,30253
Capital fund management s.a.,PARIS,I0,"",24144.6,1209644.0,0.0058,0.0146,1215,907,-29295.4,-54.8192365,I0,0.0470352,Q3 2022,535,0001323645,,,23 RUE DE L'UNIVERSITE, ,75007
Capital fund management s.a.,PARIS,I0,CALL,0.0,0.0,,0.0105,"",1015,-38290.0,-100.0,I0,N/A,Q3 2021,535,0001323645,,,23 RUE DE L'UNIVERSITE, ,75007
Capricorn fund managers ltd,LONDON,X0,"",3277.9,164223.0,0.0502,,101,,3277.9,,X0,0.0063856,Q1 2023,556209,0001901361,,000323709,"2ND FLOOR, MALTA HOUSE",36-38 PICCADILLY,W1J 0DP
Capstone investment advisors  llc,NEW YORK,NY,CALL,10000.0,501000.0,0.0025,,1008,,10000.0,,NY,N/A,Q1 2023,3283,0001426196,,000155563,7 WORLD TRADE CENTER,"250 GREENWICH STREET, 32ND FLOOR",10007
Capstone investment advisors  llc,NEW YORK,NY,"",5.2,261.0,0.0,,1529,,5.2,,NY,0.0000101,Q1 2023,3283,0001426196,,000155563,7 WORLD TRADE CENTER,"250 GREENWICH STREET, 32ND FLOOR",10007
Caption management  llc,OKLAHOMA CITY,OK,CALL,10540.0,528054.0,0.0102,,779,,10540.0,,OK,N/A,Q2 2022,392489,0001706766,,000173841,499 W SHERIDAN AVE,SUITE 2250,73102
Caption management  llc,OKLAHOMA CITY,OK,"",0.0,0.0,,0.001,"",1160,-1610.0,-100.0,OK,0.0000000,Q1 2021,392489,0001706766,,000173841,499 W SHERIDAN AVE,SUITE 2250,73102
Carl stuart investment advisor  inc,AUSTIN,TX,"",538.9,1412826.0,1.352,,10,,538.9,,TX,0.0010498,Q1 2023,556588,0001910180,,,623 W 38TH STREET,SUITE 110,78705
Carmel capital partners  llc,SAN DIEGO,CA,"",9.2,461.0,0.0003,,448,,9.2,,CA,0.0000179,Q1 2023,553602,0001900481,,000123907,"12760 HIGH BLUFF DRIVE, SUITE 210", ,92130
Carmichael hill & associates  inc.,GAITHERSBURG,MD,"",1.0,51.0,0.0,0.0,774,780,0.0,0.0,MD,0.0000019,Q1 2021,391696,0001730295,521614317,,18 EAST DIAMOND AVE., ,20877
Carolina wealth advisors  llc,MYRTLE BEACH,SC,"",10.0,501.0,0.0003,,247,,10.0,,SC,0.0000195,Q1 2023,463047,0001786411,,,"1110 LONDON STREET, SUITE 204", ,29577
Carsonallaria wealth management  ltd.,GLEN CARBON,IL,"",0.0,0.0,,0.0,"",342,-0.7,-100.0,IL,0.0000000,Q4 2022,555499,0001900946,,000157998,2246 S. STATE ROUTE 157,SUITE 225,62034
Cary street partners investment advisory llc,RICHMOND,VA,"",359.5,18011.0,0.0013,0.0011,1001,1051,0.0,0.0,VA,0.0007003,Q4 2022,430483,0001766904,,000128545,901 EAST BYRD STREET,SUITE 1001,23219
Centiva capital  lp,NEW YORK,NY,PUT,1000.0,50100.0,0.0012,0.0023,1379,1208,-1000.0,-50.0,NY,N/A,Q4 2022,391236,0001692507,,000286299,66 HUDSON BOULEVARD E,56TH FLOOR,10001
Cetera advisor networks llc,EL SEGUNDO,CA,"",1667.6,83547.0,0.0006,0.0007,2456,2395,-478.4,-22.2926375,CA,0.0032486,Q2 2021,163629,0001534468,953845382,,2301 ROSECRANS AVE #5100,STE 1300,90245
Chanos & company lp,NEW YORK,NY,PUT,0.0,0.0,,0.2056,"",42,-31950.0,-100.0,NY,N/A,Q4 2022,118659,0001446440,200483489,000137563,"20 WEST 55TH ST, 8TH FLOOR", ,10019
Charles schwab investment management inc,SAN FRANCISCO,CA,"",349680.3,17518983.0,0.0053,0.0045,1572,1672,8941.1,2.6240303,CA,0.6811998,Q1 2014,2579,0000884546,,000106753,211 MAIN STREET, ,94105
Ci investments inc.,TORONTO, ,"",0.0,0.0,,0.0,"",1185,-2.9,-100.0, ,0.0000000,Q3 2021,635,0001163648,,000134918,"15 YORK STREET, 2ND FLOOR", ,M5J 0A3
Cibc asset management inc,TORONTO,A6,"",1417.9,71037.0,0.0003,0.0003,1004,1030,-64.7,-4.3639552,A6,0.0027622,Q1 2021,636,0001021926,,000106508,81 BAY STREET,20TH FLOOR,M5J 0E7
Cibc private wealth group llc,ATLANTA,GA,"",0.0,0.0,,0.0,"",834,-2030.5,-100.0,GA,0.0000000,Q4 2022,94626,0001298088,,,3290 NORTHSIDE PARKWAY,7TH FLOOR,30327
Cipher capital lp,NEW YORK,NY,"",1046.5,52430.0,0.0097,,485,,1046.5,,NY,0.0020386,Q1 2023,200206,0001542420,800798322,,400 MADISON AVENUE,SUITE 12A,10017
Citadel advisors llc,MIAMI,FL,CALL,771210.0,38637621.0,0.0085,0.011,1305,1170,-383710.0,-33.2239462,FL,N/A,Q1 2014,70431,0001423053,000000000,000148826,830 BRICKELL PLAZA, ,33131
Citadel advisors llc,MIAMI,FL,PUT,702840.0,35212284.0,0.0077,0.0077,1389,1472,-105140.0,-13.0126983,FL,N/A,Q1 2014,70431,0001423053,000000000,000148826,830 BRICKELL PLAZA, ,33131
Citadel advisors llc,MIAMI,FL,"",7075.5,354483.0,0.0001,0.0001,9020,8042,-6443.7,-47.6633233,FL,0.0137835,Q1 2017,70431,0001423053,000000000,000148826,830 BRICKELL PLAZA, ,33131
Citigroup inc,NEW YORK,NY,PUT,3777940.0,189274794.0,0.1327,0.0733,117,247,1517260.0,67.1152043,NY,N/A,Q3 2022,650,0000831001,,,388 GREENWICH STREET, ,10013
Citigroup inc,NEW YORK,NY,CALL,1164850.0,58358985.0,0.0409,0.0302,356,498,232480.0,24.9343072,NY,N/A,Q4 2022,650,0000831001,,,388 GREENWICH STREET, ,10013
Citigroup inc,NEW YORK,NY,"",5709.9,286066.0,0.0002,0.0034,3525,1552,-98211.0,-94.5055326,NY,0.0111233,Q4 2016,650,0000831001,,,388 GREENWICH STREET, ,10013
Clear harbor asset management  llc,STAMFORD,CT,PUT,10720.0,537072.0,0.0554,,219,,10720.0,,CT,N/A,Q1 2023,105162,0001511857,,000152242,263 TRESSER BLVD,15TH FLOOR,06901
Clear street llc,NEW YORK,NY,"",128000.0,6412800.0,0.2286,,29,,128000.0,,NY,0.2493523,Q1 2023,432630,0001708828,,000288933,"4 WORLD TRADE CENTER, 150 GREENWICH STRE",45TH FLOOR,10007
Clear street llc,NEW YORK,NY,PUT,128000.0,6412800.0,0.2286,,30,,128000.0,,NY,N/A,Q1 2023,432630,0001708828,,000288933,"4 WORLD TRADE CENTER, 150 GREENWICH STRE",45TH FLOOR,10007
Clearstead advisors  llc,CLEVELAND,OH,"",10.5,527.0,0.0,0.0,1295,1301,10.0,2000.0,OH,0.0000205,Q4 2021,358134,0000842775,,,1100 SUPERIOR AVENUE EAST,SUITE 700,44114
Cnb bank,CLEARFIELD,PA,"",0.0,0.0,,0.0006,"",431,-23.5,-100.0,PA,0.0000000,Q4 2021,393100,0001732074,,,"PO BOX 42, ONE SOUTH SECOND ST", ,16830
Coatue management llc,NEW YORK,NY,"",421215.8,21102912.0,0.1403,0.1384,47,53,118166.0,38.9922712,NY,0.8205556,Q1 2022,677,0001135730,,000157910,9 WEST 57TH STREET,25TH FLOOR,10019
Colonial trust company,SPARTANBURG,SC,"",240.0,12024.0,0.0031,0.0027,652,677,0.0,0.0,SC,0.0004675,Q4 2022,613889,0001954093,,,233 S. PINE ST., ,29302
Comerica securities inc.,DETROIT,MI,"",0.0,0.0,,0.0,"",1500,-3.6,-100.0,MI,0.0000000,Q4 2022,696,0000781875,,,411 W LAFAYETTE BLVD,MAIL CODE 3137,48226
Commonwealth equity services  llc,WALTHAM,MA,"",3818.9,191000.0,0.0004,0.0029,3333,1847,-25592.1,-87.0154024,MA,0.0074395,Q3 2019,69950,0000312272,,000008032,29 SAWYER ROAD,ONE UNIVERSITY OFFICE PARK,02453-3483
Concourse financial group securities  inc.,BIRMINGHAM,AL,"",76.8,3847.0,0.0003,0.0003,1928,1930,-10.0,-11.5207373,AL,0.0001496,Q1 2021,119606,0000752798,,,2801 HIGHWAY 280 SOUTH, ,35223
Connective capital management  llc,PALO ALTO,CA,"",0.0,0.0,,0.1787,"",29,-12131.1,-100.0,CA,0.0000000,Q4 2022,199909,0001543568,,000161099,720 UNIVERSITY AVENUE, ,94301
Coppell advisory solutions llc,COPPELL,TX,"",0.0,0.0,,0.0001,"",1076,-14.8,-100.0,TX,0.0000000,Q4 2022,504240,0001848433,274762004,,9111 CYPRESS WATERS BLVD,SUITE 140,75019
Corecap advisors  llc,SOUTHFIELD,MI,"",0.0,0.0,,0.0,"",2310,-2.5,-100.0,MI,0.0000000,Q4 2021,555514,0001902501,,000158819,27777 FRANKLIN ROAD,SUITE 700,48034
Coston  mcisaac & partners,BAR HARBOR,ME,"",0.0,0.0,,0.0,"",755,-12.8,-100.0,ME,0.0000000,Q4 2022,607979,0001945037,,000194515,38 RODICK STREET, ,04609
