holder,position_type,shares_prev,shares_current,percent_out,delta_shares,flag,period_end,filed_date,ref_price
OPEROSE ADVISORS LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
SIMPLICITY WEALTHLLC,EQUITY,,0,,16686.0,NO_CHANGE,2012-03-31,,
QUENT CAPITAL LLC,EQUITY,,0,,5.0,NO_CHANGE,2012-03-31,,
COLONIAL TRUST COMPANY,EQUITY,,0,,-1050.0,NO_CHANGE,2012-03-31,,
GLOBAL WEALTH STRATEGIES & ASSOCIATES,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
NEW ENGLAND CAPITAL FINANCIAL ADVISORS LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
QUARRY LP,EQUITY,,0,,188.0,NO_CHANGE,2012-03-31,,
HEADLANDS TECHNOLOGIES LLC,EQUITY,,0,,-88170.0,NO_CHANGE,2012-03-31,,
STRATEGIC INVESTMENT SOLUTIONS INC.,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
CORNERSTONE PLANNING GROUP LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
TRUE WEALTH DESIGN LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
ROOT FINANCIAL PARTNERS LLC,EQUITY,,0,,222.0,NO_CHANGE,2012-03-31,,
NEMES RUSH GROUP LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
FARTHER FINANCE ADVISORS LLC,EQUITY,,0,,200.0,NO_CHANGE,2012-03-31,,
CAPE INVESTMENT ADVISORY INC.,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
TD WATERHOUSE CANADA INC.,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
PICTET ASSET MANAGEMENT HOLDING SA,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
ANCHOR INVESTMENT MANAGEMENT LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
TWIN PEAKS WEALTH ADVISORS LLC,EQUITY,,0,,-113.0,NO_CHANGE,2012-03-31,,
BEAR MOUNTAIN CAPITAL INC.,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
TYCHE WEALTH PARTNERS LLC,EQUITY,,0,,213.0,NO_CHANGE,2012-03-31,,
SMARTLEAF ASSET MANAGEMENT LLC,EQUITY,,0,,404.0,NO_CHANGE,2012-03-31,,
SUSQUEHANNA PORTFOLIO STRATEGIES LLC,EQUITY,,0,,1588975.0,NO_CHANGE,2012-03-31,,
MAIN STREET GROUP LTD,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
PROATHLETE WEALTH MANAGEMENT LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
KAPITALO INVESTIMENTOS LTDA,EQUITY,,0,,-12847.0,NO_CHANGE,2012-03-31,,
HILLTOP NATIONAL BANK,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
TRAPHAGEN INVESTMENT ADVISORS LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
FEDERATION DES CAISSES DESJARDINS DU QUEBEC,EQUITY,,0,,-91.0,NO_CHANGE,2012-03-31,,
POINT72 (DIFC) LTD,EQUITY,,0,,78929.0,NO_CHANGE,2012-03-31,,
SBI SECURITIES COMPANY . LTD.,EQUITY,,0,,-1283.0,NO_CHANGE,2012-03-31,,
R SQUARED LTD,EQUITY,,0,,21700.0,NO_CHANGE,2012-03-31,,
COMPREHENSIVE FINANCIAL PLANNING INC.,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
SLT HOLDINGS LLC,EQUITY,,0,,-40012.0,NO_CHANGE,2012-03-31,,
KIKER WEALTH MANAGEMENT LLC,EQUITY,,0,,-3000.0,NO_CHANGE,2012-03-31,,
FINANCIALLY SPEAKING INC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
KLP KAPITALFORVALTNING AS,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
POLICE & FIREMENS RETIREMENT SYSTEM OF NEW JERSEY,EQUITY,,0,,21081.0,NO_CHANGE,2012-03-31,,
MAY HILL CAPITAL LLC,EQUITY,,0,,-11127.0,NO_CHANGE,2012-03-31,,
BERNARD WEALTH MANAGEMENT CORP.,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
OPTIMIZE FINANCIAL INC,EQUITY,,0,,536082.0,NO_CHANGE,2012-03-31,,
ROSSBY FINANCIAL LCC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
CAITONG INTERNATIONAL ASSET MANAGEMENT COMPANY . LTD,EQUITY,,0,,-12906.0,NO_CHANGE,2012-03-31,,
GUERRA ADVISORS INC,EQUITY,,0,,19.0,NO_CHANGE,2012-03-31,,
VERMILLION WEALTH MANAGEMENT INC.,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
UNIVERSAL- BETEILIGUNGS- UND SERVICEGESELLSCHAFT MBH,EQUITY,,0,,11285.0,NO_CHANGE,2012-03-31,,
PANDORA WEALTH INC.,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
NUVEEN LLC,EQUITY,,0,,335112.0,NO_CHANGE,2012-03-31,,
