Filer,City,State,"",Shares Held,Market Value,% of Portfolio,Prior % of Portfolio,Ranking,Prior Ranking,Change in shares,Percent Change,Filer State,% Ownership,Qtr first owned,filer_id,filer_cik,filer_irs_number,filer_crd,street_address,street_address2,zip_code
1832 asset management l.p.,TORONTO, ,"",0.0,0.0,,0.0,"",877,-21.0,-100.0, ,0.0000000,Q4 2023,1225,0000944388,,,40 TEMPERANCE STREET,16TH FLOOR,M5H 0B4
Activest wealth management,AVENTURA,FL,"",369.0,1838.0,0.0006,,405,,369.0,,FL,0.0001248,Q2 2024,532354,0001883134,,000156150,20900 NE 30TH AVENUE,SUITE 311,33180
Advisornet financial  inc,MINNETONKA,MN,"",58.0,289.0,0.0,0.0,2001,1973,0.0,0.0,MN,0.0000196,Q4 2020,177163,0001409362,,,110 CHESHIRE LANE,SUITE 200,55305
Advisory services network  llc,ATLANTA,GA,"",2660.0,13248.0,0.0003,0.0031,1517,1384,-35103.0,-92.9560681,GA,0.0008999,Q4 2022,205031,0001573876,,,6600 PEACHTREE DUNWOODY RD.,"EMBASSY ROW 600, SUITE 575",30328
Algert global llc,SAN FRANCISCO,CA,"",26539.0,132000.0,0.0044,,1353,,26539.0,,CA,0.0089784,Q3 2023,84,0001275218,,,101 CALIFORNIA STREET,SUITE 3240,94111
Alliancebernstein l.p.,NASHVILLE,TN,"",294790.0,1468054.0,0.0005,0.0001,2117,2894,232026.0,369.6800714,TN,0.0997301,Q1 2014,43469,0001109448,134064930,000108477,501 COMMERCE STREET, ,37203
Allspring global investments holdings  llc,CHARLOTTE,NC,"",1003.0,4994.0,0.0,0.0,2228,2198,268.0,36.462585,NC,0.0003393,Q4 2021,545310,0001890906,,,1415 VANTAGE PARK DRIVE,3RD FLOOR,28203
Allworth financial lp,FOLSOM,CA,"",297.0,1488.0,0.0,0.0,3033,2998,-46.0,-13.4110787,CA,0.0001005,Q1 2021,186197,0001555170,,,340 PALLADIO PKWY,SUITE 501,95630
Alphamark advisors  llc,FT. WRIGHT,KY,"",270.0,1000.0,0.0003,0.0,692,706,225.0,500.0,KY,0.0000913,Q3 2022,100,0001348183,364293631,,810 WRIGHT'S SUMMIT PKWY,SUITE 100,41011
Altshuler shaham ltd,TEL AVIV, ,"",0.0,0.0,,0.0001,"",297,-440.0,-100.0, ,0.0000000,Q1 2024,401066,0001324290,,,19A HABARZEL STREET,RAMAT HAHAYAL,6971026
Amalgamated bank,NEW YORK,NY,"",8797.0,44000.0,0.0004,0.0004,1884,1880,-4107.0,-31.8273404,NY,0.0029761,Q1 2021,93649,0000919192,,,275 SEVENTH AVENUE,6TH FLOOR,10001
American international group  inc.,NEW YORK,NY,"",0.0,0.0,,0.0,"",2988,-2028.0,-100.0,NY,0.0000000,Q2 2014,129,0000005272,,,1271 AVE OF THE AMERICAS,FL 37,10020-1304
Ameriprise financial inc,MINNEAPOLIS,MN,"",0.0,0.0,,0.0,"",3770,-29817.0,-100.0,MN,0.0000000,Q1 2024,136,0000820027,,000108257,1099 AMERIPRISE FINANCIAL CENTER, ,55474
Ameritas investment partners  inc.,LINCOLN,NE,"",27252.0,135715.0,0.0047,,1535,,27252.0,,NE,0.0092196,Q2 2024,2817,0001055980,,,5945 R STREET, ,68505
Amundi,PARIS, ,"",2643225.0,13295422.0,0.0051,,785,,2643225.0,, ,0.8942269,Q2 2024,79487,0001330387,,,91-93 BOULEVARD PASTEUR, ,75015
Anchor investment management  llc,COLUMBIA,SC,"",1067.0,5314.0,0.0005,0.0004,836,886,1.0,0.0938086,SC,0.0003610,Q1 2023,656019,0001634149,,000135296,3205 DEVINE STREET, ,29205
Aqr capital management llc,GREENWICH,CT,"",0.0,0.0,,0.0016,"",1734,-244737.0,-100.0,CT,0.0000000,Q2 2023,166,0001167557,133987414,000111883,ONE GREENWICH PLAZA,SUITE 130,06830
Arax advisory partners,DENVER,CO,"",783.0,3900.0,0.0004,,1702,,783.0,,CO,0.0002649,Q2 2024,358486,0001586767,,000133535,"730 17TH STREET, SUITE 107", ,80202
Arizona state retirement system,PHOENIX,AZ,"",73797.0,367509.0,0.0025,0.0014,1604,1922,19284.0,35.3750482,AZ,0.0249662,Q1 2020,190792,0001558481,,,3300 NORTH CENTRAL AVENUE,14TH FLOOR,85012
Asset dedication  llc,SAN FRANCISCO,CA,"",402.0,2002.0,0.0001,0.0,1064,974,400.0,20000.0,CA,0.0001360,Q2 2021,231170,0001475896,,,220 MONTGOMERY ST.,SUITE 1098,94104
Atticus wealth management  llc,PALM BEACH GARDENS,FL,"",200.0,996.0,0.0003,,492,,200.0,,FL,0.0000677,Q2 2024,462432,0001800234,,000296949,11380 PROSPERITY FARMS ROAD,SUITE 201,33410
Avantax advisory services  inc.,DALLAS,TX,"",39668.0,197547.0,0.0014,0.0009,1960,1596,13627.0,52.3290196,TX,0.0134200,Q2 2022,431235,0001303042,,,3200 OLYMPUS BLVD.,SUITE 100,75019
Avion wealth,THE WOODLANDS,TX,"",32.0,0.0,0.0,0.0003,882,832,0.0,0.0,TX,0.0000108,Q2 2021,454057,0001792704,,,2829 TECHNOLOGY FOREST BLVD #300, ,77381
Avior wealth management  llc,OMAHA,NE,"",1.0,4.0,0.0,0.0,2254,3824,0.0,0.0,NE,0.0000003,Q2 2021,256351,0001599868,,,14301 FIRST NATIONAL BANK PARKWAY,#110,68154
Axa s.a.,PARIS,I0,"",0.0,0.0,0.0,0.0014,"",945,-125100.0,-100.0,I0,0.0000000,Q3 2023,245,0000898427,,,25 AVENUE MATIGNON, ,75008
Balefire  llc,DALLAS,TX,"",600.0,2988.0,0.0011,,610,,600.0,,TX,0.0002030,Q2 2024,431370,0001750924,463329350,000168733,14221 DALLAS PARKWAY,SUITE 100,75254
Balyasny asset management l.p.,CHICAGO,IL,"",12736.0,63425.0,0.0001,0.0096,2428,1181,-1469039.0,-99.1404903,IL,0.0043087,Q1 2024,268,0001218710,,000138111,444 WEST LAKE STREET 50TH FLOOR, ,60606
Bangor savings bank,BANGOR,ME,"",200.0,996.0,0.0001,,494,,200.0,,ME,0.0000677,Q2 2024,275,0001352675,,,24 HAMLIN WAY, ,04401
Bank of america corp,CHARLOTTE,NC,"",4759515.0,23702385.0,0.0021,0.0003,2079,3990,3842826.0,419.2071684,NC,1.6101868,Q1 2014,276,0000070858,560906609,,BANK OF AMERICA CORPORATE CENTER,100 N TRYON ST,28255
Bank of america corp,CHARLOTTE,NC,PUT,131100.0,652878.0,0.0001,0.0,5170,5357,-1900.0,-1.4285714,NC,N/A,Q3 2020,276,0000070858,560906609,,BANK OF AMERICA CORPORATE CENTER,100 N TRYON ST,28255
Bank of montreal,TORONTO,A6,"",18615.0,134214.0,0.0,0.0,3159,3448,4941.0,36.1342694,A6,0.0062976,Q2 2014,1324,0000927971,000000000,,1 FIRST CANADIAN PLACE, ,M5X 1A1
Bank of new york mellon corp,NEW YORK,NY,"",1086600.0,5411269.0,0.001,0.0004,2304,2743,522063.0,92.4763124,NY,0.3676066,Q1 2014,281,0001390777,,000290078,240 GREENWICH STREET, ,10286
Barclays plc,LONDON,X0,"",512102.0,2550000.0,0.0008,0.0002,1970,3664,391975.0,326.3004986,X0,0.1732487,Q1 2014,294,0000312069,,,1 CHURCHILL PLACE,CANARY WHARF,E14 5HP
Barclays plc,LONDON,X0,CALL,119100.0,593000.0,0.0002,,2941,,119100.0,,X0,N/A,Q2 2024,294,0000312069,,,1 CHURCHILL PLACE,CANARY WHARF,E14 5HP
Barrett & company  inc.,PROVIDENCE,RI,"",85.0,423.0,0.0002,0.0001,580,601,0.0,0.0,RI,0.0000288,Q4 2022,117446,0000887602,,000001175,42 WEYBOSSET ST,42 WEYBOSSET STREET,02903
Bayesian capital management  lp,BROOKLYN,NY,"",0.0,0.0,,0.018,"",657,-50604.0,-100.0,NY,0.0000000,Q1 2022,328433,0001632551,,,54 COLERIDGE STREET, ,11235
Beacon capital management  llc,FRANKLIN,TN,"",750.0,3735.0,0.0007,,764,,750.0,,TN,0.0002537,Q2 2024,570537,0001921487,,000156228,751 COOL SPRINGS BLVD,STE 106,37067
Beaird harris wealth management  llc,DALLAS,TX,"",1042.0,5190.0,0.0005,0.0001,444,541,756.0,264.3356643,TX,0.0003525,Q4 2021,570743,0001908938,,000107238,5005 LBJ FWY,SUITE 1700,75244
Bear mountain capital  inc.,SEATTLE,WA,"",2.0,11.0,0.0,0.0,180,220,0.0,0.0,WA,0.0000007,Q4 2023,658955,0002009419,,000151151,2001 6TH AVENUE,STE 2401,98121
Belvedere trading llc,CHICAGO,IL,CALL,93900.0,288071.0,0.0004,,283,,93900.0,,IL,N/A,Q2 2022,288569,0001632341,,000132605,10 S. RIVERSIDE PLAZA,SUITE 2100,60606
Belvedere trading llc,CHICAGO,IL,PUT,19500.0,38723.0,0.0,,531,,19500.0,,IL,N/A,Q4 2021,288569,0001632341,,000132605,10 S. RIVERSIDE PLAZA,SUITE 2100,60606
Benjamin edwards inc,CLAYTON,MO,"",21.0,0.0,0.0,0.0,714,709,0.0,0.0,MO,0.0000071,Q2 2021,132178,0001451623,,000146936,ONE NORTH BRENTWOOD BOULEVARD,SUITE 850,63105
Blackrock  inc,NEW YORK,NY,"",20808054.0,103624109.0,0.0023,0.0008,2006,2650,11239021.0,117.4520038,NY,7.0395523,Q1 2014,373,0002012383,,000109391,50 HUDSON YARDS, ,10001
Blue trust  inc.,ALPHARETTA,GA,"",1383.0,5145.0,0.0001,0.0,2192,2117,1360.0,5913.0434783,GA,0.0004679,Q2 2022,514139,0001856022,,,1125 SANCTUARY PARKWAY,SUITE 500,30009
Blueshift asset management  llc,RED BANK,NJ,"",0.0,0.0,,0.0656,"",264,-33939.0,-100.0,NJ,0.0000000,Q2 2022,431075,0001727827,,000290637,"151 BODMAN PLACE, SUITE 301", ,07701
Bogart wealth  llc,MCLEAN,VA,"",12100.0,60258.0,0.0031,0.0,371,1023,12000.0,12000.0,VA,0.0040935,Q4 2023,376049,0001715740,,000283886,"2010 CORPORATE RIDGE, SUITE 900", ,22102
Boothbay fund management  llc,NEW YORK,NY,"",60487.0,301225.0,0.0071,,1159,,60487.0,,NY,0.0204633,Q3 2023,289317,0001549230,,000163706,140 EAST 45TH STREET,16TH FLOOR,10017
Boulder hill capital management lp,NEW YORK,NY,"",0.0,0.0,,1.1698,"",45,-763900.0,-100.0,NY,0.0000000,Q1 2024,555517,0001859029,861257181,,888 SEVENTH AVENUE, ,10106
Brevan howard capital management lp,ST. HELIER, ,PUT,11400.0,56772.0,0.0005,0.0151,1003,179,-438600.0,-97.4666667, ,N/A,Q2 2023,107478,0001512857,,000161292,6TH FLOOR,37 ESPLANADE,JE2 3QA
Brown brothers harriman & company,NEW YORK,NY,"",500.0,2490.0,0.0,0.0,1066,1093,0.0,0.0,NY,0.0001692,Q4 2021,460,0000014661,,,140 BROADWAY, ,10005-1101
California state teachers retirement system,WEST SACRAMENTO,CA,"",258162.0,1285647.0,0.0016,0.001,1632,1948,54771.0,26.9289202,CA,0.0873385,Q1 2014,502,0001081019,946291617,,100 WATERFRONT PLACE, ,95605
Campbell & company investment adviser llc,BALTIMORE,MD,"",0.0,0.0,,0.0553,"",592,-172438.0,-100.0,MD,0.0000000,Q4 2023,515,0001353570,,000134332,2850 QUARRY LAKE DRIVE, ,21209
