Filer,City,State,"",Shares Held,Market Value,% of Portfolio,Prior % of Portfolio,Ranking,Prior Ranking,Change in shares,Percent Change,Filer State,% Ownership,Qtr first owned,filer_id,filer_cik,filer_irs_number,filer_crd,street_address,street_address2,zip_code
Bank of new york mellon corp,NEW YORK,NY,"",607333.0,3716880.0,0.0008,0.0003,2518,3003,435586.0,253.6207328,NY,0.3061819,Q1 2014,281,0001390777,,000290078,240 GREENWICH STREET, ,10286
Barclays plc,LONDON,X0,PUT,637667.0,3902000.0,0.0014,,2340,,637667.0,,X0,N/A,Q4 2023,294,0000312069,,,1 CHURCHILL PLACE,CANARY WHARF,E14 5HP
Barclays plc,LONDON,X0,"",418877.0,2562000.0,0.0009,,2716,,418877.0,,X0,0.2111734,Q1 2014,294,0000312069,,,1 CHURCHILL PLACE,CANARY WHARF,E14 5HP
Barrett & company  inc.,PROVIDENCE,RI,"",85.0,520.0,0.0003,0.0004,584,591,0.0,0.0,RI,0.0000429,Q4 2022,117446,0000887602,,000001175,42 WEYBOSSET ST,42 WEYBOSSET STREET,02903
Bayesian capital management  lp,BROOKLYN,NY,"",91300.0,558756.0,0.0593,0.0712,356,323,13200.0,16.9014085,NY,0.0460281,Q1 2022,328433,0001632551,,,54 COLERIDGE STREET, ,11235
Beaird harris wealth management  llc,DALLAS,TX,"",286.0,1751.0,0.0002,0.0003,480,353,0.0,0.0,TX,0.0001442,Q4 2021,570743,0001908938,,000107238,5005 LBJ FWY,SUITE 1700,75244
Bear mountain capital  inc.,SEATTLE,WA,"",2.0,8.0,0.0,,232,,2.0,,WA,0.0000010,Q4 2023,658955,0002009419,,000151151,2001 6TH AVENUE,STE 2401,98121
Belvedere trading llc,CHICAGO,IL,PUT,10800.0,66096.0,0.0001,0.0001,532,425,4600.0,74.1935484,IL,N/A,Q4 2021,288569,0001632341,,000132605,10 S. RIVERSIDE PLAZA,SUITE 2100,60606
Belvedere trading llc,CHICAGO,IL,CALL,7700.0,47124.0,0.0001,0.0,581,471,4000.0,108.1081081,IL,N/A,Q2 2022,288569,0001632341,,000132605,10 S. RIVERSIDE PLAZA,SUITE 2100,60606
Belvedere trading llc,CHICAGO,IL,"",3939.0,24107.0,0.0,0.0,636,513,1501.0,61.5668581,IL,0.0019858,Q3 2023,288569,0001632341,,000132605,10 S. RIVERSIDE PLAZA,SUITE 2100,60606
