Filer,City,State,"",Shares Held,Market Value,% of Portfolio,Prior % of Portfolio,Ranking,Prior Ranking,Change in shares,Percent Change,Filer State,% Ownership,Qtr first owned,filer_id,filer_cik,filer_irs_number,filer_crd,street_address,street_address2,zip_code
683 capital management  llc,NEW YORK,NY,PUT,130000.0,5720000.0,0.4108,0.1264,61,124,96140.0,283.9338452,NY,N/A,Q1 2021,123998,0001404574,,000156181,1700 BROADWAY,SUITE 4200,10019
Adage capital partners gp  l.l.c.,BOSTON,MA,PUT,113680.0,5001920.0,0.0109,,670,,113680.0,,MA,N/A,Q2 2023,35,0001165408,,000160679,200 CLARENDON STREET,52ND FLOOR,02116
Advisornet financial  inc,MINNETONKA,MN,"",28.9,1272.0,0.0001,0.0002,1821,1694,-12.5,-30.1932367,MN,0.0000563,Q4 2020,177163,0001409362,,,110 CHESHIRE LANE,SUITE 200,55305
Advisory services network  llc,ATLANTA,GA,"",0.0,0.0,,0.0004,"",2702,-297.9,-100.0,GA,0.0000000,Q4 2022,205031,0001573876,,,6600 PEACHTREE DUNWOODY RD.,"EMBASSY ROW 600, SUITE 575",30328
Ae wealth management llc,TOPEKA,KS,"",1194.5,52560.0,0.0003,,1835,,1194.5,,KS,0.0023270,Q2 2023,358428,0001697723,,000330428,2950 SW MCCLURE RD.,SUITE B,66614
Ahrens investment partners llc,LAFAYETTE,LA,"",0.0,0.0,,0.0029,"",737,-115.0,-100.0,LA,0.0000000,Q1 2023,374568,0001698481,204991123,000222517,412 SETTLERS TRACE BLVD., ,70508
Alliancebernstein l.p.,NASHVILLE,TN,"",22449.6,987782.0,0.0004,0.0005,2292,2165,-127.4,-0.5642911,TN,0.0437333,Q1 2014,43469,0001109448,134064930,000108477,501 COMMERCE STREET, ,37203
Allspring global investments holdings  llc,CHARLOTTE,NC,"",838.4,36889.0,0.0001,0.0001,2357,2323,-44.2,-5.0079311,NC,0.0016333,Q4 2021,545310,0001890906,,,1415 VANTAGE PARK DRIVE,3RD FLOOR,28203
Allworth financial lp,FOLSOM,CA,"",207.0,9109.0,0.0001,0.0001,1889,1788,6.1,3.0363365,CA,0.0004032,Q1 2021,186197,0001555170,,,340 PALLADIO PKWY,SUITE 501,95630
Alphamark advisors  llc,FT. WRIGHT,KY,"",40.0,2000.0,0.0009,0.0018,546,508,-49.1,-55.1066218,KY,0.0000779,Q3 2022,100,0001348183,364293631,,810 WRIGHT'S SUMMIT PKWY,SUITE 100,41011
Alpine global management  llc,NEW YORK,NY,"",1278.6,56258.0,0.0155,,183,,1278.6,,NY,0.0024908,Q4 2022,256266,0001581655,461675291,000153062,140 BROADWAY 38TH FLOOR, ,10005
Amalgamated bank,NEW YORK,NY,"",7836.7,345000.0,0.0028,0.0035,1610,1505,-396.1,-4.8112428,NY,0.0152664,Q1 2021,93649,0000919192,,,275 SEVENTH AVENUE,6TH FLOOR,10001
American century companies inc,KANSAS CITY,MO,"",3625.1,159504.0,0.0001,0.0001,2580,2445,-55.7,-1.513258,MO,0.0070619,Q3 2021,123,0000748054,,,4500 MAIN STREET, ,64111
American international group  inc.,NEW YORK,NY,"",462.3,20341.0,0.0001,0.0002,3017,2857,-57.8,-11.1132475,NY,0.0009006,Q2 2014,129,0000005272,,,1271 AVE OF THE AMERICAS,FL 37,10020-1304
Americana partners  llc,HOUSTON,TX,"",0.0,0.0,,0.0182,"",266,-2302.5,-100.0,TX,0.0000000,Q4 2022,463759,0001797678,,000301354,811 LOUISIANA STREET,SUITE 2420,77002
